month,name,bus,carrier,p_nom_mw,frozen_p_min_pu,frozen_p_max_pu_static,active,p_nom_extendable,admission,scope,full_eligibility,source_file_sha256
january,Sutton Bridge,Walpole,CCGT,819.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Baglan Bay,Melksham,CCGT,520.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Severn Power,Feckenham,CCGT,850.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Blackburn,Penwortham,CCGT,60.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Damhead Creek,Kemsley,CCGT,805.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Rye House,Pelham,CCGT,715.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Shoreham,Lovedean,CCGT,420.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Castleford,Thornton/Drax/Eggborough,CCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Sandbach,Daines,CCGT,56.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,Thornhill,Th. Marsh/Stocksbridge,CCGT,50.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
january,West Burton CCGT,Keadby,CCGT,1332.0,0.0,1.0,NOT_EXPORTED,NOT_EXPORTED,KEEP,carrier/nameplate candidate mapping only,HOLD pending active/nonextendable validation,fa0ea534fb7f0eedf274ab7d41181fd2364ba1f5d11be350e09412f91c8927a5
