name,carrier,included_internal_coordinate
South_Beach_Wind_Turbine_Somerton,wind_onshore,True
Swaffham_1___Ecotech_Wind_Park,wind_onshore,True
Mynydd_Gorddu_Wind_Farm,wind_onshore,True
Cefn_Croes_Wind_Farm,wind_onshore,True
Carno_'B'_Wind_Farm,wind_onshore,True
Carno_'A'_Wind_Farm,wind_onshore,True
Cemmaes_'B'_Wind_Farm,wind_onshore,True
Trysglwyn_Wind_Farm,wind_onshore,True
Hafoty_Ucha_'2'_and_'3'_Wind_Turbine,wind_onshore,True
Royal_Seaforth_Dock_Wind_Farm,wind_onshore,True
Cemmaes_'C'_Wind_Farm,wind_onshore,True
Llanbabo_Wind_Farm,wind_onshore,True
Tow_Law_Wind_Farm,wind_onshore,True
Kirkheaton_Wind_Farm,wind_onshore,True
Great_Eppleton_Wind_Farm,wind_onshore,True
Great_Orton_Wind_Farm_Extension,wind_onshore,True
Harlock_Hill_Wind_Farm,wind_onshore,True
Wharrels_Hill_Wind_Farm,wind_onshore,True
Siddick_Wind_Farm,wind_onshore,True
Oldside_Wind_Farm,wind_onshore,True
Haverigg_Extension_Wind_Farm,wind_onshore,True
Blaen_Bowi_Wind_Farm,wind_onshore,True
Parc_Cynog_Wind_Farm,wind_onshore,True
Moel_Maelogen_A,wind_onshore,True
Out_Newton_Wind_Farm,wind_onshore,True
Brockholes_Wind_Cluster,wind_onshore,True
Kilbraur_Windfarm_Farlary___Extension,wind_onshore,True
Maesgwyn,wind_onshore,True
Spicer_Hill_Wind_Farm,wind_onshore,True
Ford_Motor_Company_Ltd_Extension,wind_onshore,True
FMC_Technologies,wind_onshore,True
Boyndie_Airfield_Extension,wind_onshore,True
Blue_Gates_Farm,wind_onshore,True
Celcon_Blocks_Ltd,wind_onshore,True
Hammar's_Hill,wind_onshore,True
"F_M_C_Land,_Pitreavie_Business_Park",wind_onshore,True
Strath_of_Brydock___Extension,wind_onshore,True
Hare_Hill_East_Ayrshire,wind_onshore,True
Kirkby_Moor,wind_onshore,True
Bambers_II,wind_onshore,True
Millennium_Extension_II,wind_onshore,True
Cairnmore_Farm,wind_onshore,True
St_Fergus_Moss_Wind_Farm,wind_onshore,True
"West_Hill,_Flotta",wind_onshore,True
Chelker_Reservoir_Retention_of_Turbines,wind_onshore,True
Whitelee_Windfarm_Extension_phase_2,wind_onshore,True
