month,group_id,members,size,pooled_target_mean_MW,pooled_target_energy_MWh
1,G001,101_CT_1;101_CT_2,2,-4.435944951926493e-13,-7.452387519236508e-11
1,G002,101_STEAM_3;101_STEAM_4,2,0.7142857142857162,120.0000000000003
1,G003,102_CT_1;102_CT_2,2,1.9110771166622054e-13,3.210609555992505e-11
1,G004,102_STEAM_3;102_STEAM_4,2,25.402539577543227,4267.626649027262
1,G005,107_CC_1,1,2.4107699963289126e-15,4.050093593832573e-13
1,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,-2.565755148025468e-14,-4.310468648682786e-12
1,G007,115_STEAM_1;115_STEAM_2,2,-5.481761997093141e-13,-9.209360155116477e-11
1,G008,115_STEAM_3,1,35.83655752023812,6020.541663400003
1,G009,116_STEAM_1,1,8.035925595585778e-13,1.3500355000584108e-10
1,G010,118_CC_1,1,3.054910821663812e-13,5.1322501803952036e-11
1,G011,123_STEAM_2,1,59.70992702380978,10031.267740000043
1,G012,123_STEAM_3,1,19.217387369047724,3228.521078000018
1,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
1,G014,121_NUCLEAR_1,1,336.4832632339327,56529.18822330069
1,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,38.346428571428575,6442.2
1,G016,113_PV_1,1,22.120238095238093,3716.2
1,G017,102_PV_1,1,6.096428571428571,1024.1999999999998
1,G018,101_PV_1,1,6.070833333333334,1019.9000000000001
1,G019,102_PV_2,1,6.164880952380953,1035.7
1,G020,104_PV_1,1,6.129761904761905,1029.8
1,G021,101_PV_2,1,6.221428571428571,1045.1999999999998
1,G022,101_PV_3,1,6.238690476190476,1048.1
1,G023,101_PV_4,1,6.214285714285714,1044.0
1,G024,103_PV_1,1,12.599404761904761,2116.7
1,G025,119_PV_1,1,12.592857142857142,2115.6
1,G026,122_WIND_1,1,490.2984135212608,82370.13347157181
2,G001,101_CT_1;101_CT_2,2,-1.075657508257155e-13,-1.8071046138720203e-11
2,G002,101_STEAM_3;101_STEAM_4,2,1.6989921327381108,285.4306783000026
2,G003,102_CT_1;102_CT_2,2,-1.3847917521675733e-13,-2.326450143641523e-11
2,G004,102_STEAM_3;102_STEAM_4,2,44.691149196428626,7508.113065000009
2,G005,107_CC_1,1,1.1419436824715899e-15,1.918465386552271e-13
2,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,-3.850557439037738e-14,-6.4689364975834e-12
2,G007,115_STEAM_1;115_STEAM_2,2,-2.62998287169411e-13,-4.418371224446105e-11
2,G008,115_STEAM_3,1,72.17785986785708,12125.880457799989
2,G009,116_STEAM_1,1,1.6792404107446842e-13,2.8211238900510693e-11
2,G010,118_CC_1,1,2.228904891342695e-14,3.744560217455727e-12
2,G011,123_STEAM_2,1,92.7903445339286,15588.777881700005
2,G012,123_STEAM_3,1,39.22945735714317,6590.548836000053
2,G013,123_CT_1;123_CT_4;123_CT_5,3,0.0,0.0
2,G014,121_NUCLEAR_1,1,372.7416478214299,62620.59683400023
2,G015,122_HYDRO_1;122_HYDRO_2;122_HYDRO_3;122_HYDRO_4;122_HYDRO_5;122_HYDRO_6,6,68.17857142857143,11454.0
2,G016,113_PV_1,1,24.492857142857144,4114.8
2,G017,102_PV_1,1,7.239880952380952,1216.3
2,G018,101_PV_1,1,7.155357142857143,1202.1000000000001
2,G019,102_PV_2,1,7.222023809523811,1213.3000000000002
2,G020,104_PV_1,1,7.164285714285714,1203.6
2,G021,101_PV_2,1,7.16190476190476,1203.1999999999998
2,G022,101_PV_3,1,7.179166666666667,1206.1000000000001
2,G023,101_PV_4,1,7.112500000000001,1194.9
2,G024,103_PV_1,1,13.585119047619049,2282.3
2,G025,119_PV_1,1,13.813690476190478,2320.7000000000003
2,G026,122_WIND_1,1,280.77276602380743,47169.82469199965
3,G001,101_CT_1;101_CT_2,2,-2.521939120904953e-13,-4.2368577231203215e-11
3,G002,101_STEAM_3;101_STEAM_4,2,1.2500000000000013,210.00000000000023
3,G003,102_CT_1;102_CT_2,2,1.0630799556067235e-13,1.7859743254192955e-11
3,G004,102_STEAM_3;102_STEAM_4,2,32.92240257857183,5530.963633200066
3,G005,107_CC_1,1,-3.4681252578766794e-15,-5.826450433232822e-13
3,G006,113_CT_1;113_CT_2;113_CT_3;113_CT_4,4,-3.853787328938247e-14,-6.474362712616255e-12
3,G007,115_STEAM_1;115_STEAM_2,2,-1.8835222565430935e-13,-3.164317390992397e-11
