group_id,model_index,GEN UID,Bus ID,Gen ID,Unit Group,Unit Type,Category,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Non Fuel Shutdown Cost $,FOR,MTTF Hr,MTTR Hr,Scheduled Maint Weeks,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,VOM,Fuel Sulfur Content %,Emissions SO2 Lbs/MMBTU,Emissions NOX Lbs/MMBTU,Emissions Part Lbs/MMBTU,Emissions CO2 Lbs/MMBTU,Emissions CH4 Lbs/MMBTU,Emissions N2O Lbs/MMBTU,Emissions CO Lbs/MMBTU,Emissions VOCs Lbs/MMBTU,Damping Ratio,Inertia MJ/MW,Base MVA,Transformer X p.u.,Unit X p.u.,Pump Load MW,Storage Roundtrip Efficiency,base_marginal_cost,excluded_index_tie_break_cost,annual_bounds_sha256,signature_sha256
G001,0,101_CT_1,101,1,U20,CT,Oil CT,Oil,8,4.96,1.0468,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13114,9456,9476,10352,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,135.72203159999998,0.0,279f2180482a26c12072d26a879ae970d15746c54e6608393fa8d2bae944a653,e2aff3cb5887cb90c215990b7acb859c2753540d62991a8ac2d714d1540047c4
G001,1,101_CT_2,101,2,U20,CT,Oil CT,Oil,8,4.96,1.0468,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,13114,9456,9476,10352,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,135.72203159999998,1e-07,279f2180482a26c12072d26a879ae970d15746c54e6608393fa8d2bae944a653,e2aff3cb5887cb90c215990b7acb859c2753540d62991a8ac2d714d1540047c4
G002,2,101_STEAM_3,101,3,U76,STEAM,Coal,Coal,76,0.14,1.0468,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,13270,6713,8028,8549,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0,28.052647299999997,2e-07,b2011ff0ca0a76543bbb22727659d5e45d66d609708797e5fbb87f847ecc5002,15e949a94aa649be3fae79047d39c70dfa4cc856d86105e04324781f09202180
G002,3,101_STEAM_4,101,4,U76,STEAM,Coal,Coal,76,0.14,1.0468,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,13270,6713,8028,8549,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0,28.052647299999997,3e-07,b2011ff0ca0a76543bbb22727659d5e45d66d609708797e5fbb87f847ecc5002,15e949a94aa649be3fae79047d39c70dfa4cc856d86105e04324781f09202180
G003,4,102_CT_1,102,1,U20,CT,Oil CT,Oil,8,4.88,1.0467,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14639,8597,9147,9622,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,151.50486659999999,4e-07,279f2180482a26c12072d26a879ae970d15746c54e6608393fa8d2bae944a653,b36b1d76cc4dcb0b776526dd4e613723c615e6bcbaff6020354af393745102f2
G003,5,102_CT_2,102,2,U20,CT,Oil CT,Oil,8,4.88,1.0467,20,8,10,0,1,1,3,1,0,0,5,5,5,0,0,0.1,450,50,2,10.3494,0.4,0.6,0.8,1,NA,14639,8597,9147,9622,NA,0,0.2,0.2,0.5,0.036,160,0.002,0.004,0.11,0.04,0,2.8,24,0.13,0.32,0,0,151.50486659999999,5e-07,279f2180482a26c12072d26a879ae970d15746c54e6608393fa8d2bae944a653,b36b1d76cc4dcb0b776526dd4e613723c615e6bcbaff6020354af393745102f2
G004,6,102_STEAM_3,102,3,U76,STEAM,Coal,Coal,76,-2.31,1.0467,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11591,8734,9861,10651,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0,24.50325809,6e-07,b2011ff0ca0a76543bbb22727659d5e45d66d609708797e5fbb87f847ecc5002,16e2be8b74d6f85bc5e6cb7982caf20a14fbffbfd954141e46ccd94c9087c295
G004,7,102_STEAM_4,102,4,U76,STEAM,Coal,Coal,76,-2.31,1.0467,76,30,30,-25,4,8,2,12,10,3,5284.8,4861.4,3379.4,0,0,0.02,1960,40,3,2.11399,0.394736842,0.596491228,0.798245614,1,NA,11591,8734,9861,10651,NA,0,Unit-specific,Unit-specific,Unit-specific,Unit-specific,210,0.001,0.004,0.02,0.003,0,3,89,0.13,0.3,0,0,24.50325809,7e-07,b2011ff0ca0a76543bbb22727659d5e45d66d609708797e5fbb87f847ecc5002,16e2be8b74d6f85bc5e6cb7982caf20a14fbffbfd954141e46ccd94c9087c295
G005,8,107_CC_1,107,1,U355,CC,Gas CC,NG,355,49.51,1.05,355,170,150,-25,4.5,8,4.14,2,1,0.5,7215.1,4536.1,3196.6,0,0,0.033,967,33,1.07,3.88722,0.478873239,0.65258216,0.82629108,1,NA,7222,5970,6892,7854,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,5,414,0.13,0.3,0,0,28.07350284,8e-07,592818bfeee36dcfa953cbee3f07d8fade1951491181d14067d7e5a164d39583,72718d6e7eb3aff542429c191730a203b2c85d15e9b940111d74e18de6513c6a
G006,9,113_CT_1,113,1,U55,CT,Gas CT,NG,55,19,1.0347,55,22,19,-15,2.2,2.2,3.7,1,0.75,0.25,1457.4,1122.5,452.8,0,0,0.031,969,31,0.79,3.88722,0.4,0.6,0.8,1,NA,13125,6899,7602,7797,NA,0,0,0.0006,0.079999998,0,118,0,0,0,0,0,2.8,64,0.13,0.32,0,0,51.019762500000006,9e-07,cd1ef46e26af7a8a5635c352c0ac3549fea7014a3a7772d6255d5de249e43b9f,4f147201012bc14cef0c29613b69906d6460b674547b0f63f49d62f930da0b66
