path,bytes,sha256
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\temporal_equivalence_audit.py,25577,d3630b7039c12bc2a6f93d803a476b122c219f5a72000d71a74939dcaa7211fc
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\docs\TEMPORAL_EQUIVALENCE_PROTOCOL.md,7368,fb302d80080d62b25737ece4e523fc11918cdec007615770f82495a50d4cac2c
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\equivalence\group_inventory.json,71495,6dbdc291ebd15539569ccef0b8edd622702362020ac84d61d6b99b8aee1508b6
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\equivalence\pre_run_freeze.json,679,a7eea6ce9043e817167ab7a48348a0fcbd848d14184cbb75075ce9ab5209578c
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_repair_dispatch.csv,34837,a58ffcaa470cdc01d574ebd34fd2ab4953cb9a73087e1103407bf7b945be65da
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_fixed_commitment.csv,8484,d0baca56221f249076e11dbf26d49c8418ff189b27e44ef4fe5a5ad805cfa449
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\shared_target.csv,1847,3d16aadeb06b07291fc0ecd3790fec57939edc657441541d06a55bc386965321
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\code\dscgrid_model.py,5694,01d3e67440b1380b62ed68da07e61ac6895b930ada583ffa8af09a370850be78
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\branch.csv,7142,e92d16d13b1c5d2899f7871c0c99c3eb94605528beef157bf9e1ccbcffe5ef4e
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\bus.csv,7003,cec3f776222812d43eaeaf7ac85b577719dc565f354a04e120c12a647ddb710e
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\gen.csv,32451,988466f29132b73739de60c9204dd4a2a9ceb0adf572e5966c086611272f4068
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Hydro\DAY_AHEAD_hydro.csv,934239,4030660920df850138472c5561322c71e5037813c8e3232d3f9bde512a40606d
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Load\DAY_AHEAD_regional_Load.csv,423702,7a9470d32d49068a91334cb36db54cceb2feb5cb1f702b0fa0847af8bac6cf21
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\PV\DAY_AHEAD_pv.csv,842651,bfede6e558df5ea0f244b6326940a4ee0b95138643aa8a062897c67134c9c185
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\RTPV\DAY_AHEAD_rtpv.csv,935828,13a6933c2e0a513e1a453143876dadef6977e6add7701a21f56fe6a753afce42
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\WIND\DAY_AHEAD_wind.csv,279519,6a1a8dc7d10a518523b3b319902ecc1ca1c400223832b26c6edb3a6e69d01dbc
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092600\permutation.csv,2186,afb4e692078a97dafd26a587c50d10f7024233261f4b6cf98aef5727fddfde0e
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092600\full_solver_crosscheck.json,275,36b1b2431b3d11f3666adbda0a3ef48a44509723ece64a3119e715201fd0e36e
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092601\permutation.csv,2186,54f78cec35c8fa87179ddf218ac32bd850fa1401635e133bfd6d6f38dd27aae0
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092601\full_solver_crosscheck.json,276,d306d45005df8bc8d55be82f5b20452a78cd39c322624a9e2041a78b644eddce
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092602\permutation.csv,2186,beafec6240f97c1d8d27e5ce773c9287b5ad44f3471e213979e5865e3910ff12
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092602\full_solver_crosscheck.json,275,32d0573566af9189ef327e75d02b358512df2be95535332c4a0a32a5b30ff57a
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092603\permutation.csv,2186,eddb7bfca28cd0b9bca7f0233888bdcb9aad59f3cccff0900cb402905c8f1cf5
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\temporal_information\twins\seed_26092603\full_solver_crosscheck.json,275,a321a3d16a6d71d273edb594ff769ee996b907fff57a9c48c96118267fdf3101
