101_CT_1,101_CT_2,101_STEAM_3,101_STEAM_4,102_CT_1,102_CT_2,102_STEAM_3,102_STEAM_4,107_CC_1,113_CT_1,113_CT_2,113_CT_3,113_CT_4,115_STEAM_1,115_STEAM_2,115_STEAM_3,116_STEAM_1,118_CC_1,123_STEAM_2,123_STEAM_3,123_CT_1,123_CT_4,123_CT_5,121_NUCLEAR_1,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,113_PV_1,102_PV_1,101_PV_1,102_PV_2,104_PV_1,101_PV_2,101_PV_3,101_PV_4,103_PV_1,119_PV_1,122_WIND_1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.7
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.3
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.2
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.6
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,51.8,15.9,16.5,15.9,15.7,15.8,15.9,16.3,16.0,15.0,706.6
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,62.2,19.0,19.2,19.2,19.0,19.0,19.2,18.6,30.2,29.2,711.8
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,65.3,19.8,20.4,19.9,19.5,19.8,19.9,18.9,39.3,39.0,713.5
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,67.2,19.5,20.2,19.6,19.2,19.5,19.7,18.9,44.5,46.7,696.1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,66.6,19.4,19.3,19.5,19.0,19.4,19.5,18.7,46.5,49.5,680.8
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,64.4,19.1,18.8,19.3,18.9,19.1,19.3,18.2,45.3,48.8,678.98351
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,2.8,2.8,2.8,2.8,2.8,2.8,65.3,18.3,18.3,18.5,18.2,18.4,18.5,17.7,40.7,44.5,686.7019660000001
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,61.5,17.1,17.5,17.3,17.5,17.2,17.4,16.9,33.0,35.9,683.3
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,46.7,14.0,13.9,14.2,14.1,14.1,14.2,14.3,20.5,21.2,662.1
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,0.0,0.0,0.0,2.7,0.0,2.8,2.9,2.9,0.1,0.0,671.6
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,3.3,3.3,3.3,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.8
1e-05,1e-05,76.0,1e-05,1e-05,1e-05,76.0,76.0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,155.0,1e-05,1e-05,155.0,350.0,1e-05,1e-05,1e-05,400.0,4.2,4.2,4.2,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.9
