row,family,hour_0based,uid,multiplier
1,aggregate_balance,1,ALL,-1.056492978576895
2,aggregate_balance,2,ALL,-6.392662337879891
3,aggregate_balance,3,ALL,-7.1201010325136105
4,aggregate_balance,4,ALL,-7.1201010325136105
5,aggregate_balance,5,ALL,-7.1201010325136105
6,aggregate_balance,6,ALL,-7.1201010325136105
7,aggregate_balance,7,ALL,-6.392662337879891
8,aggregate_balance,8,ALL,-3.751429891437657
10,aggregate_balance,10,ALL,1.8336311900737057
11,aggregate_balance,11,ALL,1.8336311900736875
12,aggregate_balance,12,ALL,1.8336311900736884
13,aggregate_balance,13,ALL,1.8336311900736884
14,aggregate_balance,14,ALL,1.8336311900736884
15,aggregate_balance,15,ALL,1.8336311900736846
16,aggregate_balance,16,ALL,1.8336311900736895
17,aggregate_balance,17,ALL,1.8336311900736877
18,aggregate_balance,18,ALL,1.8336311900736877
19,aggregate_balance,19,ALL,1.8336311900736877
20,aggregate_balance,20,ALL,1.8336311900736877
21,aggregate_balance,21,ALL,1.8336311900736884
22,aggregate_balance,22,ALL,1.8336311900736884
23,aggregate_balance,23,ALL,1.8336311900737057
24,aggregate_balance,24,ALL,-3.4720751243575743
25,aggregate_balance,25,ALL,-6.392662337879891
26,aggregate_balance,26,ALL,-7.1201010325136105
27,aggregate_balance,27,ALL,-6.392662337879891
28,aggregate_balance,28,ALL,-7.1201010325136105
29,aggregate_balance,29,ALL,-6.392662337879891
30,aggregate_balance,30,ALL,-3.751429891437657
33,aggregate_balance,33,ALL,1.8336311900737057
34,aggregate_balance,34,ALL,1.8336311900736881
35,aggregate_balance,35,ALL,1.8336311900736855
36,aggregate_balance,36,ALL,1.8336311900736884
37,aggregate_balance,37,ALL,1.8336311900736912
38,aggregate_balance,38,ALL,1.8336311900736846
39,aggregate_balance,39,ALL,1.8336311900736884
40,aggregate_balance,40,ALL,1.8336311900736917
41,aggregate_balance,41,ALL,1.833631190073685
42,aggregate_balance,42,ALL,1.8336311900736866
43,aggregate_balance,43,ALL,1.8336311900736892
44,aggregate_balance,44,ALL,1.8336311900736877
45,aggregate_balance,45,ALL,1.8336311900736881
46,aggregate_balance,46,ALL,1.833631190073688
47,aggregate_balance,47,ALL,1.8336311900736877
48,aggregate_balance,48,ALL,-3.751429891437657
49,aggregate_balance,49,ALL,1.8336311900737035
50,aggregate_balance,50,ALL,4.508167482628415
51,aggregate_balance,51,ALL,-3.751429891437657
52,aggregate_balance,52,ALL,4.508167482628414
53,aggregate_balance,53,ALL,1.8336311900737057
54,aggregate_balance,54,ALL,1.8336311900736877
55,aggregate_balance,55,ALL,0.7234337450782633
56,aggregate_balance,56,ALL,-6.392662337879892
57,aggregate_balance,57,ALL,1.8336311900736884
59,aggregate_balance,59,ALL,1.833631190073688
60,aggregate_balance,60,ALL,4.508167482628414
61,aggregate_balance,61,ALL,-3.751429891437657
62,aggregate_balance,62,ALL,-3.751429891437657
63,aggregate_balance,63,ALL,1.8336311900737017
