path,sha256,bytes
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\temporal_information_pilot.py,f2e50b7dccb0e1869c8667a00e32c9d2f1d3f1f641459d4ccb802abe0074d4a0,16125
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\check_temporal_core.py,ea9bb4ed65f3a91d3fcd26bd7d5cf980c0ad24aa15774239e913a5ad04ff9003,8564
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\v8r1_rts_seasonal.py,bca0127d7b2771c6da3b6a838c8caa7fb6ce0df4eafd9a512326aabd8daf7dc2,12931
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\src\v8r1_rts_residence_certificate.py,15a1336d73a8b032d32a5dc01108a8e12f2c87bfd418c30572607e7c74ca7e03,13251
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\docs\TEMPORAL_INFORMATION_PROTOCOL.md,906c575e8c8470dc381967b3dc34078854eb7587a05970040933794e5026801d,5149
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_repair_dispatch.csv,a58ffcaa470cdc01d574ebd34fd2ab4953cb9a73087e1103407bf7b945be65da,34837
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\results\v8\network_repair\network_fixed_commitment.csv,d0baca56221f249076e11dbf26d49c8418ff189b27e44ef4fe5a5ad805cfa449,8484
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\processed\month_07_first_week_dispatch.csv,5b16ff77d70404dc131402ec7ee0fabae32f7ab8c560b9557188f65a480ed42e,61483
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\processed\month_07_first_week_hourly_summary.csv,1b8ecce0d833d812c4c34fec97a43f118aba99aae3189058a833f633a9bf6b2f,4214
C:\Users\gmalkawi\.codex\worktrees\dsc-temporal-information\3\reproducibility\data\processed\rts\month_07_first_week_dispatch.csv,5b16ff77d70404dc131402ec7ee0fabae32f7ab8c560b9557188f65a480ed42e,61483
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\code\dscgrid_model.py,01d3e67440b1380b62ed68da07e61ac6895b930ada583ffa8af09a370850be78,5694
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\branch.csv,e92d16d13b1c5d2899f7871c0c99c3eb94605528beef157bf9e1ccbcffe5ef4e,7142
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\bus.csv,cec3f776222812d43eaeaf7ac85b577719dc565f354a04e120c12a647ddb710e,7003
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\gen.csv,988466f29132b73739de60c9204dd4a2a9ceb0adf572e5966c086611272f4068,32451
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Hydro\DAY_AHEAD_hydro.csv,4030660920df850138472c5561322c71e5037813c8e3232d3f9bde512a40606d,934239
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\Load\DAY_AHEAD_regional_Load.csv,7a9470d32d49068a91334cb36db54cceb2feb5cb1f702b0fa0847af8bac6cf21,423702
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\PV\DAY_AHEAD_pv.csv,bfede6e558df5ea0f244b6326940a4ee0b95138643aa8a062897c67134c9c185,842651
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\RTPV\DAY_AHEAD_rtpv.csv,13a6933c2e0a513e1a453143876dadef6977e6add7701a21f56fe6a753afce42,935828
C:\Users\gmalkawi\.codex\worktrees\dsc-v8r1-evidence\3\.work\v8r1_rts_inputs\raw\RTS-GMLC_v0.2.3\timeseries_data_files\WIND\DAY_AHEAD_wind.csv,6a1a8dc7d10a518523b3b319902ecc1ca1c400223832b26c6edb3a6e69d01dbc,279519
