case,seed,subset,certificate_verdict,combined_verdict,failing_unit_count,core_unit,core_atoms,propagation_s,reachability_s,core_extraction_and_checks_s,permuted_seed_residence_violations,full_solver_status,full_solver_verdict,full_solver_elapsed_s
identity,,control,UNKNOWN,ADMITTED_NETWORK_WITNESS,0,,,0.0008729000110179186,0.03568050000467338,3.00002284348011e-07,0,NOT_SELECTED,,
seed_26092600,26092600.0,development,UNKNOWN,REJECTED_RELAXATION,0,,,0.0008614000107627362,0.031437199999345466,8.999777492135763e-07,133,Infeasible,REJECTED_RELAXATION,3.187999999994645
seed_26092601,26092601.0,development,UNKNOWN,REJECTED_RELAXATION,0,,,0.0009605000086594373,0.035914900014176965,4.00003045797348e-07,163,Infeasible,REJECTED_RELAXATION,2.9530000000086147
seed_26092602,26092602.0,development,UNKNOWN,REJECTED_RELAXATION,0,,,0.0008375000033993274,0.035935699997935444,5.00003807246685e-07,134,Infeasible,REJECTED_RELAXATION,2.937999999994645
seed_26092603,26092603.0,development,UNKNOWN,REJECTED_RELAXATION,0,,,0.0009485000045970082,0.04785010000341572,4.00003045797348e-07,148,Infeasible,REJECTED_RELAXATION,3.437000000005355
seed_26092604,26092604.0,development,UNKNOWN,UNKNOWN,0,,,0.0017588000046089292,0.051360700017539784,1.00000761449337e-06,105,NOT_SELECTED,,
seed_26092605,26092605.0,development,UNKNOWN,UNKNOWN,0,,,0.0031457000004593283,0.10020169999916106,5.999754648655653e-07,143,NOT_SELECTED,,
seed_26092606,26092606.0,development,UNKNOWN,UNKNOWN,0,,,0.0015759000089019537,0.04375670000445098,4.00003045797348e-07,154,NOT_SELECTED,,
seed_26092607,26092607.0,development,UNKNOWN,UNKNOWN,0,,,0.0009934999980032444,0.04492790001677349,5.00003807246685e-07,123,NOT_SELECTED,,
seed_26092608,26092608.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0029270000231917948,0.054408300027716905,1.3999815564602613e-06,140,NOT_SELECTED,,
seed_26092609,26092609.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0015549999952781945,0.03706559998681769,4.00003045797348e-07,136,NOT_SELECTED,,
seed_26092610,26092610.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0011961999989580363,0.03842560001066886,9.00006853044033e-07,121,NOT_SELECTED,,
seed_26092611,26092611.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.001732699980493635,0.06446570000844076,4.00003045797348e-07,137,NOT_SELECTED,,
seed_26092612,26092612.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0017817000043578446,0.04230090000783093,3.00002284348011e-07,123,NOT_SELECTED,,
seed_26092613,26092613.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.000943400023970753,0.05941100002382882,3.00002284348011e-07,150,NOT_SELECTED,,
seed_26092614,26092614.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0009452000085730106,0.04043719999026507,5.999754648655653e-07,137,NOT_SELECTED,,
seed_26092615,26092615.0,held_out_same_week,UNKNOWN,UNKNOWN,0,,,0.0014318000175990164,0.0664902999997139,4.00003045797348e-07,135,NOT_SELECTED,,
