bmUnit,fuelType_current_registry,name_current_registry,mean_2023-01-11_MW,mean_2023-07-12_MW,delta_MW,abs_delta_MW
T_KEAD-2,CCGT,Keadby-2 Main,-0.7907083333333335,760.6037499999998,761.3944583333331,761.3944583333331
T_LBAR-1,CCGT,Little Barford main unit 1,-2.656666666666667,687.2633333333332,689.9199999999998,689.9199999999998
T_TORN-2,NUCLEAR,Torness Generator 2,0.0,638.7391666666667,638.7391666666667,638.7391666666667
T_DRAXX-2,BIOMASS,T_DRAXX-2,632.2670833333333,0.0,-632.2670833333333,632.2670833333333
T_SPLN-1,CCGT,Spalding Power Station,-2.6416666666666666,625.1895833333334,627.8312500000001,627.8312500000001
T_HRTL-2,NUCLEAR,Hartlepool Generator 2,585.7078333333333,0.0,-585.7078333333333,585.7078333333333
T_HEYM28,NUCLEAR,Heysham 2 Generator 8,554.3095000000002,-6.017166666666665,-560.3266666666668,560.3266666666668
T_SHBA-1,CCGT,SOUTH HUMBER BANK P/S PHASE 1,168.45758333333333,680.6458333333333,512.1882499999999,512.1882499999999
T_PEMB-41,CCGT,Pembroke Unit 41,-0.5854166666666668,406.1125000000001,406.6979166666668,406.6979166666668
T_PEMB-11,CCGT,Pembroke Unit 11,-1.6791666666666663,390.6416666666667,392.3208333333334,392.3208333333334
T_STAY-1,CCGT,Staythorpe Unit 1,-0.8541666666666669,382.99374999999986,383.84791666666655,383.84791666666655
T_TKNWW-1,WIND,Triton Knoll OSP west 1,381.34725,-0.004000000000000003,-381.35125,381.35125
T_STAY-3,CCGT,Staythorpe Unit 3,-0.866666666666667,374.3,375.1666666666667,375.1666666666667
T_PEMB-21,CCGT,Pembroke Unit 21,14.479166666666666,386.2708333333334,371.79166666666674,371.79166666666674
T_MEDP-1,CCGT,Medway Power,-3.9718333333333344,357.06700000000006,361.0388333333334,361.0388333333334
T_EECL-1,CCGT,Enfield Energy Centre Ltd BMU1,-1.0472083333333333,347.3787083333334,348.42591666666675,348.42591666666675
T_CDCL-1,CCGT,T_CDCL-1,-2.9549999999999996,337.98,340.935,340.935
T_PEMB-51,CCGT,Pembroke Unit 51,89.44583333333333,412.71666666666675,323.2708333333334,323.2708333333334
T_DRAXX-1,BIOMASS,T_DRAXX-1,0.0,316.94054166666666,316.94054166666666,316.94054166666666
T_HUMR-1,CCGT,HUMR-1,630.1999999999999,324.10866666666664,-306.0913333333333,306.0913333333333
T_HOWBO-1,WIND,HORNSEA_WF_2A,400.46224999999987,160.8150416666667,-239.64720833333317,239.64720833333317
T_HOWAO-3,WIND,HORNSEA_1C,395.9473333333333,160.12024999999997,-235.82708333333332,235.82708333333332
T_HOWAO-2,WIND,HORNSEA_1B,393.3524999999999,160.86233333333334,-232.49016666666657,232.49016666666657
T_HOWAO-1,WIND,HORNSEA_1A,398.28937500000006,166.28274999999996,-232.0066250000001,232.0066250000001
T_WHILW-1,WIND,T_WHILW-1,268.49545833333326,37.63483333333334,-230.8606249999999,230.8606249999999
T_DRAXX-4,BIOMASS,T_DRAXX-4,396.53604166666656,608.3575000000001,211.8214583333335,211.8214583333335
T_STAY-2,CCGT,Staythorpe Unit 2,142.4083333333334,350.53958333333327,208.13124999999988,208.13124999999988
T_HOWBO-2,WIND,HORNSEA_WF_2B,438.38779166666677,234.65033333333335,-203.73745833333342,203.73745833333342
T_SCCL-2,CCGT,Unit 2,338.8520833333335,135.76874999999998,-203.0833333333335,203.0833333333335
T_CNQPS-1,CCGT,T_CNQPS-1,-5.255249999999999,178.87800000000001,184.13325,184.13325
T_DRAXX-3,BIOMASS,T_DRAXX-3,434.34629166666673,618.2229166666667,183.876625,183.876625
T_SEAB-2,CCGT,Seabank Power Module 2,-1.7271666666666665,178.38116666666667,180.10833333333335,180.10833333333335
T_HOWBO-3,WIND,HORNSEA_WF_2C,425.43170833333335,246.855,-178.57670833333336,178.57670833333336
T_CARR-2,CCGT,Carrington Power Ltd - Unit 2,-0.7666666666666666,174.70000000000005,175.46666666666673,175.46666666666673
T_WBURB-2,CCGT,West Burton B Unit 2,160.06875,0.0,-160.06875,160.06875
T_GRAI-8,CCGT,T_GRAI-8,202.73541666666665,354.30416666666656,151.5687499999999,151.5687499999999
T_CLDNW-1,WIND,Clyde North,149.00083333333336,0.0,-149.00083333333336,149.00083333333336
T_TKNEW-1,WIND,Triton Knoll OSP East 1,397.56554166666666,255.02912499999994,-142.53641666666672,142.53641666666672
T_CLDCW-1,WIND,Clyde Central,134.9191666666667,0.0,-134.9191666666667,134.9191666666667
T_RCBKO-1,WIND,RACE_BANK_Z01,270.0800833333333,136.28175000000002,-133.79833333333326,133.79833333333326
T_WHILW-2,WIND,Whitelee Extension,145.90166666666667,20.048458333333333,-125.85320833333334,125.85320833333334
T_CARR-1,CCGT,Carrington Power Ltd - Unit 1,-1.2291666666666667,120.13749999999999,121.36666666666666,121.36666666666666
T_HEYM12,NUCLEAR,Heysham 1 Generator 2,400.3261666666668,519.4583333333333,119.13216666666648,119.13216666666648
T_RCBKO-2,WIND,RACE_BANK_Z02,260.20287499999995,142.40649999999997,-117.79637499999998,117.79637499999998
T_WBURB-1,CCGT,West Burton B Unit 1,132.55716666666666,18.921374999999998,-113.63579166666666,113.63579166666666
T_KLGLW-1,WIND,Kilgallioch Windfarm,166.16745833333337,55.857375,-110.31008333333338,110.31008333333338
T_CRYRW-2,WIND,Crystal Rig II Windfarm,127.73149999999998,19.757833333333327,-107.97366666666666,107.97366666666666
T_WLNYO-3,WIND,WALNEY_3,279.1818333333334,172.12125000000003,-107.06058333333334,107.06058333333334
T_WLNYO-4,"elexonBmUnit
T_WLNYO-4    WIND
T_WLNYO-4    WIND
Name: fuelType, dtype: str","elexonBmUnit
T_WLNYO-4    WALNEY_4
T_WLNYO-4    WALNEY_4
Name: bmUnitName, dtype: str",311.70441666666653,209.84350000000006,-101.86091666666647,101.86091666666647
T_SGRWO-6,WIND,Seagreen1 Offshore WF 6,98.0095,-3.0880000000000005,-101.0975,101.0975
T_FALGW-1,WIND,Fallago Rig Wind Farm,123.17124999999997,24.346249999999998,-98.82499999999997,98.82499999999997
T_PNYCW-1,WIND,PNYCW-1 Export,183.47979166666673,84.98729166666665,-98.49250000000008,98.49250000000008
T_EAAO-1,WIND,East Anglia One Offshore 1,313.7873333333333,218.51458333333332,-95.27275,95.27275
T_SHRSW-2,WIND,Sheringham Shoal Unit 2,149.51979166666663,58.693166666666656,-90.82662499999998,90.82662499999998
T_EAAO-2,WIND,East Anglia One Offshore 2,336.9656250000001,248.70299999999997,-88.26262500000013,88.26262500000013
T_LARYW-4,WIND,London Array BMU4,162.74416666666664,79.98375,-82.76041666666664,82.76041666666664
T_WTMSO-1,WIND,WESTERMOST_ROUGH,201.40283333333332,120.06574999999998,-81.33708333333334,81.33708333333334
T_CLDSW-1,WIND,Clyde South,104.35083333333336,25.465625000000006,-78.88520833333335,78.88520833333335
