source_settlement_period,target_settlement_period,L1_cost_MW
1,38,24125.466
2,37,23270.158
3,4,23178.85199999999
4,7,21508.432
5,6,21962.719999999998
6,36,22627.376000000007
7,8,21225.074000000004
8,9,21427.574000000008
9,5,22400.94200000001
10,10,20381.768000000007
11,44,24378.048
12,21,20379.52600000001
13,20,20416.060000000005
14,42,22862.44800000002
15,22,19050.72000000001
16,23,18407.840000000015
17,35,19675.971999999998
18,24,18550.815999999988
19,34,20008.24799999999
20,31,17228.860000000004
21,30,16663.606000000003
22,29,17007.00400000001
23,13,20643.881999999994
24,11,19328.353999999985
25,1,20674.364
26,12,20863.74
27,16,22447.846000000012
28,25,19182.475999999984
29,15,21910.00799999999
30,26,18480.87799999999
31,27,19373.158000000003
32,32,18756.296
33,19,22258.600000000006
34,33,20095.968000000004
35,41,24789.039999999994
36,14,23255.026000000005
37,40,24928.371999999992
38,39,24162.402000000006
39,17,22494.23
40,28,18638.757999999994
41,48,20753.34800000001
42,18,20165.995999999992
43,43,22014.79200000001
44,2,18460.35200000001
45,47,18374.718
46,45,19826.01399999999
47,46,19475.668
48,3,19196.391999999993
