settlementPeriod,PN_to_B1610_L1_MW
1,2875.804666666667
2,2847.883333333333
3,2310.7780000000002
4,2232.2793333333334
5,2302.59
6,2712.76
7,2678.8320000000003
8,2933.622666666666
9,2699.166
10,3255.3900000000003
11,3361.489333333333
12,3576.196
13,2718.1633333333334
14,2929.3713333333335
15,3294.569333333333
16,3099.9366666666665
17,3024.354666666666
18,2975.956666666667
19,2654.282
20,2562.3533333333335
21,2559.9993333333337
22,2480.7593333333334
23,2513.4106666666667
24,3097.9686666666666
25,3464.6826666666666
26,3825.7253333333333
27,3079.814666666667
28,2909.850666666667
29,3714.5806666666667
30,3935.4393333333333
31,3994.420666666667
32,3908.688
33,2791.0740000000005
34,3265.4120000000003
35,3704.5533333333333
36,4177.546666666667
37,3934.850666666667
38,3732.542
39,3260.489333333333
40,3482.275333333333
41,3216.74
42,3045.1513333333332
43,2838.6499999999996
44,2996.536
45,3493.0813333333335
46,4495.43
47,2977.416
48,2831.7213333333334
