snapshotAt,dataset,bmUnit,nationalGridBmUnit,time,value,settlementDate,settlementPeriod
2023-01-11T00:00Z,SEL,T_KEAD-2,KEAD-2,2022-07-19T06:02:00Z,300,2022-07-19,15
2023-01-11T00:00Z,NTB,T_KEAD-2,KEAD-2,2022-03-25T17:16:00Z,59,2022-03-25,35
2023-01-11T00:00Z,NTO,T_KEAD-2,KEAD-2,2022-03-25T17:16:00Z,59,2022-03-25,35
2023-01-11T00:00Z,MZT,T_KEAD-2,KEAD-2,2022-03-01T08:58:00Z,540,2022-03-01,18
2023-01-11T00:00Z,NDZ,T_KEAD-2,KEAD-2,2022-02-17T13:05:00Z,999,2022-02-17,27
2023-01-11T00:00Z,MNZT,T_KEAD-2,KEAD-2,2022-02-17T13:04:00Z,720,2022-02-17,27
2023-07-12T00:00Z,SEL,T_KEAD-2,KEAD-2,2023-06-05T02:57:00Z,380,2023-06-05,8
2023-07-12T00:00Z,NDZ,T_KEAD-2,KEAD-2,2023-03-10T16:48:00Z,89,2023-03-10,34
2023-07-12T00:00Z,MNZT,T_KEAD-2,KEAD-2,2023-03-10T10:53:00Z,360,2023-03-10,22
2023-07-12T00:00Z,MZT,T_KEAD-2,KEAD-2,2023-03-10T10:52:00Z,360,2023-03-10,22
2023-07-12T00:00Z,NTO,T_KEAD-2,KEAD-2,2023-03-05T20:07:00Z,2,2023-03-05,41
2023-07-12T00:00Z,NTB,T_KEAD-2,KEAD-2,2023-03-05T20:06:00Z,2,2023-03-05,41
2023-01-11T00:00Z,MNZT,T_LBAR-1,LBAR-1,2023-01-07T23:51:00Z,360,2023-01-07,48
2023-01-11T00:00Z,NDZ,T_LBAR-1,LBAR-1,2023-01-07T23:51:00Z,420,2023-01-07,48
2023-01-11T00:00Z,MZT,T_LBAR-1,LBAR-1,2023-01-01T11:35:00Z,360,2023-01-01,24
2023-01-11T00:00Z,NTB,T_LBAR-1,LBAR-1,2023-01-01T11:35:00Z,2,2023-01-01,24
2023-01-11T00:00Z,NTO,T_LBAR-1,LBAR-1,2023-01-01T11:35:00Z,2,2023-01-01,24
2023-01-11T00:00Z,SEL,T_LBAR-1,LBAR-1,2023-01-01T11:35:00Z,375,2023-01-01,24
2023-07-12T00:00Z,MNZT,T_LBAR-1,LBAR-1,2023-07-05T13:09:00Z,360,2023-07-05,29
2023-07-12T00:00Z,NDZ,T_LBAR-1,LBAR-1,2023-07-05T13:09:00Z,79,2023-07-05,29
2023-07-12T00:00Z,MZT,T_LBAR-1,LBAR-1,2023-07-05T13:08:00Z,360,2023-07-05,29
2023-07-12T00:00Z,NTB,T_LBAR-1,LBAR-1,2023-07-05T13:08:00Z,2,2023-07-05,29
2023-07-12T00:00Z,NTO,T_LBAR-1,LBAR-1,2023-07-05T13:08:00Z,2,2023-07-05,29
2023-07-12T00:00Z,SEL,T_LBAR-1,LBAR-1,2023-07-05T13:08:00Z,375,2023-07-05,29
2023-01-11T00:00Z,SEL,T_TORN-2,TORN-2,2022-12-02T11:23:00Z,410,2022-12-02,23
2023-07-12T00:00Z,SEL,T_TORN-2,TORN-2,2022-12-02T11:23:00Z,410,2022-12-02,23
2023-01-11T00:00Z,MZT,T_DRAXX-2,DRAXX-2,2023-01-10T16:59:00Z,360,2023-01-10,34
2023-01-11T00:00Z,NTB,T_DRAXX-2,DRAXX-2,2023-01-10T16:59:00Z,2,2023-01-10,34
2023-01-11T00:00Z,NTO,T_DRAXX-2,DRAXX-2,2023-01-10T16:59:00Z,2,2023-01-10,34
2023-01-11T00:00Z,SEL,T_DRAXX-2,DRAXX-2,2023-01-10T16:59:00Z,600,2023-01-10,34
2023-01-11T00:00Z,MNZT,T_DRAXX-2,DRAXX-2,2023-01-10T01:31:00Z,300,2023-01-10,4
2023-01-11T00:00Z,NDZ,T_DRAXX-2,DRAXX-2,2023-01-10T01:31:00Z,85,2023-01-10,4
2023-07-12T00:00Z,MZT,T_DRAXX-2,DRAXX-2,2023-04-20T17:28:00Z,360,2023-04-20,37
2023-07-12T00:00Z,NTB,T_DRAXX-2,DRAXX-2,2023-04-20T17:28:00Z,2,2023-04-20,37
2023-07-12T00:00Z,NTO,T_DRAXX-2,DRAXX-2,2023-04-20T17:28:00Z,2,2023-04-20,37
2023-07-12T00:00Z,SEL,T_DRAXX-2,DRAXX-2,2023-04-20T17:28:00Z,200,2023-04-20,37
2023-07-12T00:00Z,MNZT,T_DRAXX-2,DRAXX-2,2023-03-24T01:58:00Z,300,2023-03-24,4
2023-07-12T00:00Z,NDZ,T_DRAXX-2,DRAXX-2,2023-03-24T01:58:00Z,85,2023-03-24,4
2023-01-11T00:00Z,SEL,T_SPLN-1,SPLN-1,2023-01-04T16:39:00Z,170,2023-01-04,34
2023-01-11T00:00Z,MNZT,T_SPLN-1,SPLN-1,2022-12-27T18:02:00Z,720,2022-12-27,37
2023-01-11T00:00Z,NDZ,T_SPLN-1,SPLN-1,2022-09-14T07:58:00Z,55,2022-09-14,18
2023-01-11T00:00Z,MZT,T_SPLN-1,SPLN-1,2020-10-06T18:11:00Z,240,2020-10-06,39
2023-07-12T00:00Z,SEL,T_SPLN-1,SPLN-1,2023-07-08T16:30:00Z,335,2023-07-08,36
2023-07-12T00:00Z,MNZT,T_SPLN-1,SPLN-1,2023-05-24T18:56:00Z,420,2023-05-24,40
2023-07-12T00:00Z,NDZ,T_SPLN-1,SPLN-1,2022-09-14T07:58:00Z,55,2022-09-14,18
2023-07-12T00:00Z,MZT,T_SPLN-1,SPLN-1,2020-10-06T18:11:00Z,240,2020-10-06,39
2023-01-11T00:00Z,SEL,T_HRTL-2,HRTL-2,2022-11-03T15:42:00Z,200,2022-11-03,32
2023-07-12T00:00Z,SEL,T_HRTL-2,HRTL-2,2023-07-09T02:19:00Z,0,2023-07-09,7
2023-01-11T00:00Z,SEL,T_HEYM28,HEYM28,2023-01-08T14:10:00Z,530,2023-01-08,29
2023-07-12T00:00Z,SEL,T_HEYM28,HEYM28,2023-05-08T00:18:00Z,0,2023-05-08,3
2023-01-11T00:00Z,SEL,T_SHBA-1,SHBA-1,2023-01-05T19:25:00Z,400,2023-01-05,39
2023-01-11T00:00Z,NDZ,T_SHBA-1,SHBA-1,2020-12-12T01:25:00Z,59,2020-12-12,3
2023-01-11T00:00Z,MZT,T_SHBA-1,SHBA-1,2020-08-25T22:39:00Z,240,2020-08-25,48
2023-01-11T00:00Z,MNZT,T_SHBA-1,SHBA-1,2020-05-28T12:44:00Z,360,2020-05-28,28
2023-01-11T00:00Z,NTB,T_SHBA-1,SHBA-1,2019-10-09T14:58:00Z,2,2019-10-09,32
2023-01-11T00:00Z,NTO,T_SHBA-1,SHBA-1,2019-10-09T14:58:00Z,2,2019-10-09,32
2023-07-12T00:00Z,SEL,T_SHBA-1,SHBA-1,2023-06-29T10:04:00Z,400,2023-06-29,23
2023-07-12T00:00Z,NDZ,T_SHBA-1,SHBA-1,2020-12-12T01:25:00Z,59,2020-12-12,3
2023-07-12T00:00Z,MZT,T_SHBA-1,SHBA-1,2020-08-25T22:39:00Z,240,2020-08-25,48
2023-07-12T00:00Z,MNZT,T_SHBA-1,SHBA-1,2020-05-28T12:44:00Z,360,2020-05-28,28
2023-07-12T00:00Z,NTB,T_SHBA-1,SHBA-1,2019-10-09T14:58:00Z,2,2019-10-09,32
2023-07-12T00:00Z,NTO,T_SHBA-1,SHBA-1,2019-10-09T14:58:00Z,2,2019-10-09,32
2023-01-11T00:00Z,MNZT,T_PEMB-41,PEMB-41,2023-01-10T23:15:00Z,360,2023-01-10,47
2023-01-11T00:00Z,NDZ,T_PEMB-41,PEMB-41,2023-01-10T23:15:00Z,80,2023-01-10,47
2023-01-11T00:00Z,MZT,T_PEMB-41,PEMB-41,2022-05-29T08:55:00Z,360,2022-05-29,20
2023-01-11T00:00Z,NTB,T_PEMB-41,PEMB-41,2022-05-29T08:55:00Z,2,2022-05-29,20
2023-01-11T00:00Z,NTO,T_PEMB-41,PEMB-41,2022-05-29T08:55:00Z,2,2022-05-29,20
2023-01-11T00:00Z,SEL,T_PEMB-41,PEMB-41,2022-05-29T08:55:00Z,219,2022-05-29,20
2023-07-12T00:00Z,MNZT,T_PEMB-41,PEMB-41,2023-07-08T15:58:00Z,360,2023-07-08,34
2023-07-12T00:00Z,NDZ,T_PEMB-41,PEMB-41,2023-07-08T15:58:00Z,60,2023-07-08,34
2023-07-12T00:00Z,MZT,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,360,2023-02-02,25
2023-07-12T00:00Z,NTB,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,2,2023-02-02,25
2023-07-12T00:00Z,NTO,T_PEMB-41,PEMB-41,2023-02-02T12:13:00Z,2,2023-02-02,25
