snapshotAt,dataset,settlementDate,settlementPeriod,time,rate1,elbow2,rate2,elbow3,rate3,nationalGridBmUnit,bmUnit
2023-01-11T00:00Z,RDRE,2022-06-09,26,2022-06-09T11:34:00Z,30.0,370.0,30.0,220.0,30.0,KEAD-2,T_KEAD-2
2023-01-11T00:00Z,RURE,2022-06-09,25,2022-06-09T11:21:00Z,30.0,10.0,30.0,20.0,30.0,KEAD-2,T_KEAD-2
2023-07-12T00:00Z,RURE,2023-06-30,18,2023-06-30T07:44:00Z,15.0,225.0,0.4,235.0,30.0,KEAD-2,T_KEAD-2
2023-07-12T00:00Z,RDRE,2023-03-10,35,2023-03-10T17:21:00Z,30.0,380.0,30.0,10.0,1.0,KEAD-2,T_KEAD-2
2023-01-11T00:00Z,RURE,2023-01-07,48,2023-01-07T23:51:00Z,1.5,125.0,6.0,295.0,25.0,LBAR-1,T_LBAR-1
2023-01-11T00:00Z,RDRE,2023-01-01,24,2023-01-01T11:35:00Z,25.0,160.0,25.0,140.0,25.0,LBAR-1,T_LBAR-1
2023-07-12T00:00Z,RURE,2023-07-05,29,2023-07-05T13:09:00Z,50.0,50.0,7.0,220.0,25.0,LBAR-1,T_LBAR-1
2023-07-12T00:00Z,RDRE,2023-07-05,29,2023-07-05T13:08:00Z,25.0,160.0,25.0,140.0,25.0,LBAR-1,T_LBAR-1
2023-01-11T00:00Z,RDRE,2023-01-10,34,2023-01-10T16:59:00Z,10.0,300.0,10.0,200.0,99.0,DRAXX-2,T_DRAXX-2
2023-01-11T00:00Z,RURE,2023-01-10,4,2023-01-10T01:31:00Z,99.0,100.0,15.0,300.0,10.0,DRAXX-2,T_DRAXX-2
2023-07-12T00:00Z,RDRE,2023-04-20,37,2023-04-20T17:28:00Z,10.0,300.0,10.0,200.0,99.0,DRAXX-2,T_DRAXX-2
2023-07-12T00:00Z,RURE,2023-03-24,4,2023-03-24T01:58:00Z,99.0,100.0,15.0,300.0,10.0,DRAXX-2,T_DRAXX-2
2023-01-11T00:00Z,RDRE,2023-01-04,34,2023-01-04T16:42:00Z,2.0,420.0,16.0,170.0,14.5,SPLN-1,T_SPLN-1
2023-01-11T00:00Z,RURE,2023-01-04,34,2023-01-04T16:41:00Z,0.6,120.0,16.0,420.0,3.0,SPLN-1,T_SPLN-1
2023-07-12T00:00Z,RDRE,2023-07-11,38,2023-07-11T17:44:00Z,2.0,780.0,16.0,335.0,23.0,SPLN-1,T_SPLN-1
2023-07-12T00:00Z,RURE,2023-07-11,38,2023-07-11T17:43:00Z,3.0,95.0,16.0,780.0,3.0,SPLN-1,T_SPLN-1
2023-01-11T00:00Z,RURE,2023-01-10,33,2023-01-10T16:03:00Z,12.0,50.0,1.0,110.0,11.0,SHBA-1,T_SHBA-1
2023-01-11T00:00Z,RDRE,2023-01-05,40,2023-01-05T19:34:00Z,40.0,400.0,50.0,,,SHBA-1,T_SHBA-1
2023-07-12T00:00Z,RURE,2023-07-09,35,2023-07-09T16:15:00Z,40.0,,,,,SHBA-1,T_SHBA-1
2023-07-12T00:00Z,RDRE,2023-06-25,36,2023-06-25T16:37:00Z,40.0,400.0,50.0,,,SHBA-1,T_SHBA-1
2023-01-11T00:00Z,RURE,2023-01-10,47,2023-01-10T23:15:00Z,0.3,43.0,4.0,191.0,17.5,PEMB-41,T_PEMB-41
2023-01-11T00:00Z,RDRE,2022-05-29,20,2022-05-29T08:55:00Z,17.5,150.0,27.5,80.0,15.0,PEMB-41,T_PEMB-41
2023-07-12T00:00Z,RURE,2023-07-08,34,2023-07-08T15:58:00Z,16.0,170.0,1.0,175.0,17.5,PEMB-41,T_PEMB-41
2023-07-12T00:00Z,RDRE,2023-02-02,25,2023-02-02T12:13:00Z,17.5,150.0,27.5,80.0,15.0,PEMB-41,T_PEMB-41
2023-01-11T00:00Z,RURE,2023-01-10,42,2023-01-10T20:51:00Z,6.0,32.0,0.5,39.0,17.5,PEMB-11,T_PEMB-11
2023-01-11T00:00Z,RDRE,2021-11-11,32,2021-11-11T15:58:00Z,17.5,150.0,27.5,80.0,15.0,PEMB-11,T_PEMB-11
2023-07-12T00:00Z,RURE,2023-07-08,34,2023-07-08T15:40:00Z,16.0,170.0,1.0,175.0,17.5,PEMB-11,T_PEMB-11
2023-07-12T00:00Z,RDRE,2023-02-08,30,2023-02-08T14:43:00Z,17.5,150.0,27.5,80.0,15.0,PEMB-11,T_PEMB-11
2023-01-11T00:00Z,RURE,2023-01-09,3,2023-01-09T01:25:00Z,0.4,45.0,2.8,175.0,17.5,STAY-1,T_STAY-1
2023-01-11T00:00Z,RDRE,2022-11-03,19,2022-11-03T09:28:00Z,17.5,125.0,41.0,43.0,11.0,STAY-1,T_STAY-1
2023-07-12T00:00Z,RDRE,2023-07-11,47,2023-07-11T22:18:00Z,17.5,125.0,41.0,43.0,11.0,STAY-1,T_STAY-1
