january_hour,july_hour,L1_MW
0,25,21771.59927703411
1,0,21043.722397258633
2,10,21637.791426670723
3,2,19051.065468489916
4,22,19249.227194986033
5,167,22498.74543520279
6,151,25859.19171782088
7,46,19706.7756267423
8,43,23889.865381647734
9,152,23478.211643498846
10,154,26473.260391824515
11,155,18303.8561932
12,41,20971.095935699963
13,42,29713.40435822728
14,156,17990.392594487264
15,160,24871.745272976415
16,159,26816.763361643283
17,163,23709.119752761806
18,44,30692.579843687578
19,150,20328.973258424878
20,45,28445.53107549136
21,162,26977.77175106846
22,49,20178.58806708081
23,145,10547.008867338282
24,144,10693.87743159419
25,50,16637.944887573918
26,166,26160.82592932729
27,125,10201.633833639304
28,59,14931.875584229956
29,123,11664.090895401128
30,57,11528.180900588708
31,5,23578.7092432171
32,4,24355.526400746734
33,54,22339.45408644148
34,40,36628.09597219036
35,17,35030.27093741461
36,104,22254.06665883584
37,106,23741.258417362104
38,113,17642.966219420236
39,102,20060.094761829492
40,117,19054.089132390574
41,89,24071.98103706466
42,67,19550.92293668857
43,80,22082.160496702658
44,64,21246.06913294758
45,63,15726.208201148813
46,94,10841.437768585129
47,122,7993.54084208602
48,128,9279.38950495909
49,93,9636.25814225148
50,75,14503.210918065795
51,73,13588.85244540915
52,76,13991.884523724973
53,71,13355.34506444126
54,87,16555.59284837211
55,74,16855.15506596017
56,82,19001.709614596108
57,88,22639.05261994757
58,39,25567.559583918384
59,13,29306.704426118904
60,37,23919.157471535167
61,131,13476.753425835346
62,132,15009.436586659309
63,135,15840.977450048958
64,12,35601.99771349251
65,18,33038.887695512676
66,32,32236.25468544115
67,14,26487.55788793366
68,141,15411.621584782726
69,1,27131.814843569013
70,130,13890.119769766727
71,129,13092.21456016923
72,127,12607.748213408646
73,124,10999.071037759762
74,119,10116.390250469558
75,121,10081.53832031674
76,120,9466.341497494199
77,115,9910.44228954317
78,61,12994.30961968858
79,60,11791.81822592023
80,65,15176.202998321689
81,81,17973.79860630903
82,84,23113.25540834559
83,68,13394.30832305863
84,16,26578.033903427233
85,85,22927.61877420718
86,83,24025.19595976659
87,11,28598.98607565942
88,34,24526.82035678898
89,161,19472.484872551522
90,9,24507.02594293965
91,35,22474.57974895906
92,158,29240.293757346186
93,21,27031.8880088556
94,140,8811.691969220268
95,142,8094.486847204441
96,143,10290.156225469578
97,47,21771.704225014677
98,48,16544.317544024678
99,149,24279.18258393051
100,147,10404.90139140827
101,146,10101.317290493469
102,148,17585.474354069982
103,52,18218.501951869963
104,56,10532.579591427995
105,55,11038.604872362564
106,139,10303.382532051985
107,138,10137.824916358602
108,31,30115.66896941219
109,133,16319.050274077761
110,136,14232.79624109424
111,153,33209.24793086932
112,36,35521.78903628217
113,7,22130.87298132117
114,23,28969.879552270366
115,157,28079.5921256913
116,27,29519.2148674745
117,137,11856.183418965506
118,134,14261.43604300471
119,51,21407.10793440631
120,29,22670.870121983353
121,58,13878.328675584318
122,126,10386.301934037447
123,118,10470.580406226823
124,95,11626.142044127448
125,96,11449.60915630608
126,116,13702.538986540336
127,97,17630.344219585124
128,28,33219.6992125765
129,19,30107.869014825414
130,8,35885.78426760967
131,107,23675.160753011198
132,109,22533.41966474045
133,110,24208.606986272323
134,112,20045.610291845693
135,86,23687.869118893672
136,15,33557.039875193805
137,20,33781.15810194667
138,92,24110.591901968888
139,90,27442.328350979584
140,77,22770.76306582624
141,91,18557.379747778767
142,72,16397.202293964627
143,79,18718.928875056765
144,70,16381.742181086072
145,78,15358.50187669448
146,3,20507.4283238729
147,24,20210.869993169134
148,26,28693.357914661792
149,53,16569.774086165628
150,6,26927.758667168044
151,165,37544.84424684108
152,164,34695.03230414438
153,30,30416.888439384526
154,33,33162.2073309703
155,38,34721.92491162719
156,108,23847.2018005874
157,114,19022.783003824155
158,103,21234.506424374656
159,101,19243.510689337185
160,98,19972.435123990977
161,111,23922.194423971603
162,99,21392.202736170922
163,69,18889.959681071712
164,62,19281.118490737335
165,66,19579.938057152314
166,105,14974.347560060563
167,100,7391.7658398905305
