bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_ABRBO-1,ABRBO-1,WIND,T,P
T_ACHRW-1,AChruach Wind Farm,WIND,T,P
T_AFTOW-1,Afton Wind Farm,WIND,T,P
T_AKGLW-2,AIKENGALL II,WIND,T,P
T_AKGLW-3,AIKENGALL2A-W,WIND,T,P
T_ANSUW-1,An Suidhe 1,WIND,T,P
T_ARCHW-1,Arecleoch,WIND,T,P
T_BAGE-1,BAGE-1,CCGT,T,P
T_BAGE-2,BAGE-2,CCGT,T,P
T_BAGED-1,Baglan Energy Park,,T,P
T_BDCHW-1,Bad a Cheo Wind Farm,WIND,T,P
T_BEATO-1,Beatrice Offshore WF 1,WIND,T,P
T_BEATO-2,Beatrice Offshore WF 2,WIND,T,P
T_BEATO-3,Beatrice Offshore WF 3,WIND,T,P
T_BEATO-4,Beatrice Offshore WF 4,WIND,T,P
T_BEINW-1,Beinneun Wind farm,WIND,T,P
T_BENBW-1,Benbrack WF,WIND,T,P
T_BHLAW-1,Bhlaraidh Windfarm 1,WIND,T,P
T_BLKWW-1,Blackcraig Windfarm,WIND,T,P
T_BLLA-1,T_BLLA-1,WIND,T,P
T_BLLA-2,Black Law Windfarm Extension,WIND,T,P
T_BLPFS-1,Bulphan Fen Warley Green Solar,,T,P
T_BOWLW-1,Barrow Offshore Wind,WIND,T,P
T_BPGRD-1,T_BPGRD-1,,T,P
T_BRBEO-1,BURBO_EXTENSION,WIND,T,P
T_CAPNB-1,Capenhurst,,T,P
T_CARR-1,Carrington Power Ltd - Unit 1,CCGT,T,P
T_CARR-2,Carrington Power Ltd - Unit 2,CCGT,T,P
T_CASKD-1,Castner Kellner,,T,P
T_CDCL-1,T_CDCL-1,CCGT,T,P
T_CGTHW-1,Corriegarth WF,WIND,T,P
T_CLDCW-1,Clyde Central,WIND,T,P
T_CLDNW-1,Clyde North,WIND,T,P
T_CLDSW-1,Clyde South,WIND,T,P
T_CLVHS-1,Cleve Hill Solar 1,OTHER,T,P
T_CLVHS-2,Cleve Hill Solar 2,OTHER,T,P
T_CNQPS-1,T_CNQPS-1,CCGT,T,P
T_CNQPS-2,T_CNQPS-2,CCGT,T,P
T_CNQPS-3,T_CNQPS-3,CCGT,T,P
T_CNQPS-4,T_CNQPS-4,CCGT,T,P
T_COALB-1,COALBURN1 BMU-1,OTHER,T,P
T_COALB-2,COALBURN1 BMU-2,OTHER,T,P
T_COALB-3,COALBURN1 BMU-3,OTHER,T,P
T_COALB-4,COALBURN1 BMU-4,OTHER,T,P
T_COALB-5,COALBURN1 BMU-5,OTHER,T,P
T_COSO-1,Coryton Power Station,CCGT,T,P
T_COUWW-1,Cour Wind Farm,WIND,T,P
T_CREAW-1,Creag Riabhach Wind Farm,WIND,T,P
T_CRGHD-1,Carraig Gheal Wind Farm,,T,P
T_CRGHW-1,Carraig Gheal Wind Farm,WIND,T,P
T_CRYRW-2,Crystal Rig II Windfarm,WIND,T,P
T_CRYRW-3,Crystal Rig III,WIND,T,P
T_CRYRW-4,Crystal Rig IV Wind Farm,WIND,T,P
T_CUMHW-2,T_CUMHW-2,WIND,T,P
T_DALQW-1,Dalquhandy  Wind Farm,WIND,T,P
T_DAMC-1,Damhead Creek Ltd.,CCGT,T,P
T_DBAWO-1,Dogger Bank A Offshore WF 1,WIND,T,P
T_DBAWO-2,Dogger Bank A Offshore WF 2,WIND,T,P
T_DBAWO-3,Dogger Bank A Offshore WF 3,WIND,T,P
T_DBAWO-4,Dogger Bank A Offshore WF 4,WIND,T,P
