settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
1,52.94,32.898,33.6,57.38,78.884,14.122,11.348,26.334,110.318,124.036,165.146,165.234,97.162,-1.012,44.162,95.572,48.056,74.336,-68.706,229.73,-1.6,-0.4,20.66,-3.06,58.474,174.92,179.996,125.92,-4.41,-4.662,-4.158,0,-1.88,20.186,20.01,-0.008,45.262,129.272,11.328,26.512,-1.3,74.682,56.922,84.206,75.532,-3.8,-2,-1.4,-281.4,-297,0,-285.6,-247.9,24.04,-0.524,-0.392,31.11,0,0,0,632.68,0,0,0,0,0,54.714,84.05,315.112,338.208,28.22,-0.72,0,0,0,30.43,136.32,7.274,-0.002,-73.466,-73.306,-1.64,-74.16,16.31,-153.1,-60.7,-0.826,19.476,85.646,85.52,85.92,86.56,-0.042,55.014,0,99.7,56.54,67.128,0.09,-0.7,0,384.1,0,0,143.9,135.722,145.424,81.116,79.142,134.88,139.7,134.48,136.18,-0.002,0,0,-0.004,0,-0.006,95.1,-0.226,503.16,400.28,-53.272,652.88,566.48,106.914,-0.718,397.372,393.44,396.092,401.706,437.624,425.962,57.096,586.984,586.328,696.4,-51.16,-2.39,4.264,-4.04,-0.842,-0.16,36.78,63.116,-0.844,-0.632,191.186,84.034,4.198,3.592,-1.4,0,141.5,133.66,152.76,163.86,-2.12,-0.08,113.524,111.09,-3.494,46.976,59.9,25.962,32.638,31.68,31.658,-4.8,16.212,0,93.57,0,-2,-0.6,-0.7,-0.6,364.4,-0.38,176.49,258.978,253.168,194.49,194.55,-2.2,71.42,89.222,-1.606,56.208,28.51,358.2,364.8,-0.8,-57.96,342.8,-3.046,-0.266,0,0,58.38,0,49.232,98.208,-2.932,-1.552,141.17,150.654,602.58,600.42,0,0,11.294,-2.7,-0.8,384.2,-0.7,-0.7,70.956,73.8,68.268,-0.302,-0.4,-0.7,-0.4,26.144,139,139,404.872,386.916,631.456,0,-32.888,-1.762,36.552,0,0,0,0,0,0,0,-2.612,0,404.18,-1.188,-1.12,190.988,190.568,13.838,26.6,292.706,158.62,4.89,58.17,173.406,300.028,328.914,162.7,203.882
2,68.12,32.156,31.388,56.54,79.5,14.652,11.53,26.362,110.04,123.84,164.424,165.116,91.55,-1.024,51.626,96.036,42.384,74.34,-68.628,230.03,-1.8,-0.6,21.32,-3.06,49.994,177.76,179.358,127.02,-5.292,-4.788,-4.158,0,-2.074,20.196,15.882,-0.008,41.936,133.434,11.326,29.428,-1.31,98.672,85.638,93.918,88.646,-2.8,-2.1,-1.4,-279.8,-295.5,0,-283.9,-281.2,23.502,-0.518,-0.388,36.236,0,0,0,637.58,0,0,0,0,0,55.66,83.168,315.008,338.128,27.88,-0.864,0,0,0,29.448,136.9,7.194,-0.002,-73.268,-73.148,-1.62,-73.94,16.32,-2.2,0,-0.18,19.524,85.624,85.56,85.9,86.52,-0.042,55.072,0,99.74,56.96,67.66,36.116,-0.7,0,353.6,0,0,143.622,138.158,144.764,69.636,65.816,130.34,138.26,134.86,137.3,-0.002,0,0,-0.004,0,-0.006,92.16,-0.228,503.4,400.28,-53.176,651.688,567.104,106.854,-0.71,398.452,393.52,396.032,401.55,438.206,425.918,73.248,586.472,586.592,695.2,-51.802,-2.35,4.454,-4.14,-0.818,-0.16,36.56,63.794,-0.846,-0.64,189.62,83.898,4.256,3.59,-1.4,0,141.78,133.6,152.68,163.84,-2.02,-0.08,120.772,126.508,-3.532,49.802,56.24,28.058,32.658,53.04,31.638,-4.6,19.606,0,93.59,0,-2,-0.7,-0.6,-0.5,361,-0.07,171.81,263.458,253.048,194.21,192.956,-2.4,71.414,89.122,-1.54,56.558,28.486,357,364.5,-0.7,-58.02,336.4,-2.924,-0.256,0,0,58.392,0,49.224,98.228,-2.922,-1.552,141.348,149.208,602.42,599.8,0,0,10.324,-2.5,-0.8,411,-0.8,-0.7,70.34,73.49,68.542,-0.306,-0.4,-0.6,-0.4,24.98,138.3,138.3,389.432,393.076,631.08,0,-32.864,-1.732,35.572,0,0,0,0,0,0,0,-2.9,0,363.906,-0.2,-0.126,197.208,196.848,13.842,26.598,294.35,155.3,6.16,57.144,173.476,296.586,328.914,162.88,204.722
3,55.62,32.766,32.126,55.46,79.378,14.532,11.948,25.368,110.278,124.016,164.938,165.198,93.464,-1.014,51.918,88.604,45.622,74.346,-68.742,229.73,-1.8,-0.6,20.22,-2.88,58.034,172.18,177.874,126.58,-5.418,-4.914,-4.158,0,-1.98,20.208,19.67,-0.008,44.914,133.53,11.33,30.384,-1.35,97.99,86.138,94.81,90.244,-2.6,-2.1,-1.4,-279.4,-295.3,0,-283.5,-280.7,23.668,-0.522,-0.39,37.374,0,0,0,604.22,0,0,0,0,0,55.396,82.948,310.11,325.028,30.38,-0.72,0,0,0,29.434,137.26,9.65,-0.002,-73.346,-73.186,-1.62,-74,16.314,-0.3,0,-0.874,19.04,85.668,85.36,85.86,86.4,-0.042,55.06,0,99.7,54.2,61.644,37.186,-0.7,0,238.6,0,0,143.434,137.562,145.27,83.592,80.176,135.08,141.5,141.52,138.3,-0.002,0,0,-0.006,0,-0.006,92.16,-0.234,503.496,400.28,-53.392,652.96,566.872,106.954,-0.728,397.992,393.54,396.192,400.532,437.688,425.174,77.866,586.808,587.088,644,-52.544,-2.39,4.374,-4.03,-0.824,-0.17,35.43,61.028,-0.838,-0.626,195.172,80.954,4.296,3.592,-1.4,0,141.72,133.56,152.76,163.88,-2.12,-0.08,124.866,136.152,-3.612,50.284,58.86,29.19,1.146,1.82,26.316,-4.6,19.46,0,93.6,0,-3,-0.6,-1.8,-0.6,211.6,-1.94,182.89,261.098,245.388,193.976,185.622,-2.2,69.422,89.238,-1.61,55.66,28.492,301.6,303,-0.8,-58.12,228.8,-2.698,-0.266,0,0,55.356,0,49.2,98.214,-2.928,-1.568,141.32,147.712,602.12,600.26,0,0,10.186,-2.6,-0.8,357.4,-0.7,-0.8,70.924,73.754,68.556,-0.302,-0.6,-0.7,-0.4,26.13,128.3,128.3,388.872,383.756,632.768,0,-33.064,-1.754,36.708,0,0,0,0,0,0,0,-3.368,0,252.688,-0.432,-0.288,189.388,189.688,13.83,26.586,281.914,153.92,5.72,57.908,173.436,297.228,328.994,160.92,205.762
4,52.5,23.036,32.792,57.1,79.644,13.688,12.09,26.208,110.292,124.004,164.134,164.928,90.076,-0.998,52.374,74.566,46.634,74.378,-68.19,230.65,-1.8,-0.8,21.1,-3.06,60.592,175,178.212,126.76,-5.418,-4.788,-4.284,0,-1.978,20.476,18.824,-0.008,43.296,133.12,11.34,30.676,-1.28,102.776,86.136,98.43,95.68,-2.7,-2.1,-1.4,-276.4,-292.9,0,-280.6,-277.6,23.352,39.084,74.47,38.15,0,0,0,600.64,0,0,0,0,0,53.42,82.968,291.152,338.208,32.22,-0.864,0,0,0,29.232,130.14,7.472,-0.002,-72.928,-72.806,-1.62,-73.58,16.53,-150.6,0,-0.662,19.562,83.104,85.72,86,79.9,-0.042,55.094,0,99.76,55.78,63.692,0.064,-0.8,0,234,0,0,142.382,138.398,143.828,86.838,81.902,135.06,141,141.6,138.06,-0.002,0,0,-0.004,0,-0.004,92.74,-0.23,505.232,400.704,-53.2,651.824,563.984,106.934,-0.722,398.352,393.4,395.192,402.982,438.614,425.308,81.81,586.256,586.032,486.2,-52.464,-2.4,2.654,-4.04,-0.816,-0.16,31.95,52.936,-0.842,-0.636,193.448,80.266,4.148,3.592,-1.4,0,141.68,133.34,152.74,163.78,-2.12,-0.08,125.126,136.952,-3.654,50.302,55.48,29.922,-1.952,-1.962,-1.968,-4.8,21.942,0,93.58,0,-4.9,-0.6,-2.5,-0.5,224.2,-0.97,190.58,273.958,258.046,178.972,180.538,-2.2,71.418,89.226,-1.552,54.602,28.486,301.8,300.8,-0.7,-57.72,311,-1.634,-0.27,0,0,58.428,0,49.21,98.242,-2.936,-1.566,141.358,150.646,602.4,600.48,0,0,9.586,-2.6,-0.8,263.8,-0.7,-0.9,69.2,73.672,68.232,-0.302,-0.4,-0.7,-0.4,26.146,128.8,128.8,400.73,395.996,632.608,0,-33,-1.736,36.808,0,0,0,0,0,0,0,-2.534,0,191.608,-1.968,-1.028,186.828,185.988,13.838,26.954,289.94,154.46,4.43,57.796,173.438,299.946,328.914,159.3,205.722
5,59.34,34.152,31.868,57.38,79.228,14.656,11.796,26.428,110.254,123.996,165.108,165.18,78.63,-1.002,48.5,73.142,47.55,74.31,-68,230.63,-1.8,-1.2,20.22,-2.88,53.862,176.42,177.414,126.24,-4.662,-4.788,-4.158,0,-1.978,20.206,16.44,-0.01,42.294,133.432,11.328,29.836,-1.28,102.794,86.106,98.4,95.63,-2.8,-2.1,-1.4,-275,-291.6,0,-279.1,-276,22.42,94.5,79.472,38.546,0,0,0,612.48,0,0,0,0,0,55.55,82.93,314.528,331.748,28.02,-0.72,0,0,0,29.438,132.66,7.204,-0.002,-72.81,-72.688,-1.62,-73.46,16.326,-153.4,0,-0.64,19.78,85.348,85.32,85.52,85.88,-0.042,55.146,0,99.68,52.78,66.696,0.024,-0.7,0,364.8,0,0,135.9,136.632,135.96,84.398,80.504,136.34,141.64,141.38,138.3,-0.002,0,0,-0.006,0,-0.006,94.42,-0.232,505.48,400.92,-53.112,651.304,562.816,106.854,-0.718,397.094,393.38,396.152,404.862,437.712,425.548,80.532,586.272,586.448,612,-52.292,-2.38,3.598,-4.04,-0.812,-0.16,31.95,60.038,-0.86,-0.656,193.436,80.296,3.958,3.592,-1.4,0,141.74,133.58,152.68,163.88,-2.12,-0.08,120.136,135.886,-3.584,50.3,52.5,30.62,-1.962,-1.942,-1.858,-4.6,21.562,0,93.51,0,-4.8,-0.6,-2.3,-0.6,286,0.01,187.1,274.978,261.748,179.828,177.87,-2.2,71.41,89.194,-1.598,54.41,28.374,318.2,319.4,-0.7,-57.54,348.4,-1.642,-0.27,0,0,58.374,0,49.234,98.226,-2.952,-1.56,141.368,150.65,602.64,599.82,0,0,8.074,-2.5,-0.8,225.6,-0.7,-0.7,70.754,73.83,68.534,-0.3,-0.6,-0.7,-0.4,26.142,138.7,138.7,381.352,380.996,632.208,0,-33.016,-1.754,36.788,0,0,0,0,0,0,0,-2.606,0,290.788,-0.094,-0.048,187.988,187.368,13.844,26.608,293.15,156.48,6.49,55.854,173.41,300.006,328.974,159.22,205.582
6,53.4,31.264,32.162,54.26,79.052,13.904,11.658,26.416,110.298,124.026,165.128,165.212,68.47,-0.978,51.012,66.208,44.132,72.2,-67.79,230.65,-1.2,-1.4,20.66,-3.06,37.196,173.52,177.356,124.74,-4.536,-4.788,-4.032,0,-1.966,20.234,20.096,-0.01,44.178,133.376,11.344,30.13,-1.28,102.818,86.122,98.45,95.688,-2.7,-2.1,-1.4,-271.7,-289,0,-275.9,-272.7,23.366,94.26,79.314,37.476,0,0,0,628.88,0,0,0,0,0,57.134,82.768,312.744,322.366,25.02,-0.72,0,0,0,29.436,134.06,7.208,-0.002,-72.37,-72.248,-1.6,-73,16.342,-152.8,0,-0.638,19.88,85.104,85.28,85.94,86.5,-0.04,55.066,0,99.76,56.08,67.064,0.062,-0.7,0,321.4,0,0,133.098,134.638,130.554,77.082,74.782,136.68,141.88,141.7,138.34,-0.002,0,0,-0.006,0,-0.004,88.2,-0.238,504.8,400.4,-53.328,651.624,562.688,106.914,-0.718,398.054,389.08,395.212,405.068,435.96,425.6,76.356,586.136,585.76,693.2,-52.1,-2.39,3.36,-3.94,-0.824,-0.16,36.54,63.29,-0.864,-0.658,196.02,79.522,4.03,3.59,-1.4,0,141.72,133.58,152.74,163.88,-2.12,-0.08,105.302,99.632,-3.586,50.076,51.56,27.5,-1.952,-1.93,-1.852,-4.8,18.122,0,93.56,0,-2.4,-0.6,-2.4,-0.5,219,0.01,187.95,274.538,260.968,192.092,187.272,-2.2,71.458,89.232,-1.56,55,28.442,301.7,321.3,-0.8,-57.5,352.2,-1.634,-0.264,0,0,58.434,0,49.198,98.204,-2.944,-1.566,141.354,150.624,602.88,600.28,0,0,8.33,-2.6,-0.7,196.4,-0.7,-0.8,70.754,73.422,68.394,-0.298,-0.4,-0.6,-0.5,26.144,138.2,138.2,367.372,382.896,631.48,0,-33.016,-1.734,36.56,0,0,0,0,0,0,0,-2.546,0,280.782,0.246,0.178,187.648,189.028,13.856,26.644,294.62,154.96,5.51,57.146,173.396,298.308,328.934,159.3,205.482
7,62.5,28.1,32.636,53.36,79.112,13.21,11.618,26.432,110.276,123.976,165.12,165.154,90.85,-1.006,49.792,63.914,44.036,74.252,-68.26,230.63,-1,-1.2,21.1,-2.88,39.856,168.48,173.45,121.86,-4.536,-4.788,-4.158,0,-1.972,20.238,20.098,-0.008,44.642,133.45,11.33,28.818,-1.29,102.782,86.118,98.416,95.716,-2.6,-2.1,-1.5,-270.7,-288.1,0,-274.8,-189.1,23.892,92.64,78.84,37.23,0,0,0,602.24,0,0,0,0,0,57.68,79.228,314.584,332.226,30.68,-0.864,0,0,0,29.35,131.52,7.208,-0.002,-72.248,-72.166,-1.6,-72.9,16.34,-152.9,0,-0.644,19.89,85.486,85.6,85.96,86.32,-0.042,55.096,0,99.72,54.44,67.11,0.004,-0.7,0,270.3,0,0,141.254,136.784,141.478,83.894,79.452,136.54,141.8,141.74,138.4,-0.002,0,0,-0.006,0,-0.006,84.12,-0.23,504.864,401,-53.328,648.904,560.088,106.914,-0.712,398.374,393.32,396.012,404.814,438.566,425.044,88.356,586.52,586.328,651.6,-52.038,-2.41,4.074,-4.04,-0.812,-0.16,36.18,63.276,-0.858,-0.654,194.438,79.746,4.242,3.592,-1.6,0,141.72,133.58,152.74,163.82,-2.12,-0.08,111.652,118.15,-3.508,50.154,60.02,26.866,25.754,24.01,21.236,-4.6,20.502,0,93.53,0,-2,-1.6,-1.3,-0.6,219,0.21,191.67,273.678,261.128,191.276,182.106,-2.4,71.472,89.254,-1.572,56.518,28.516,301.7,325.4,-0.7,-57.4,349.6,-1.644,-0.256,0,0,58.38,0,49.216,98.242,-2.944,-1.554,141.27,148.638,602.44,600.46,0,0,8.978,-2.6,-0.8,196.4,-0.8,-0.8,70.9,73.854,68.586,-0.298,-0.4,-0.7,-0.4,26.14,132.9,132.9,392.53,393.216,632.072,0,-33.064,-1.736,35.522,0,0,0,0,0,0,0,-2.578,0,203.886,0.178,0.134,188.368,190.088,14.008,26.628,290.586,153.12,5.36,57.496,173.434,291.686,328.854,159.22,205.662
8,70.2,22.08,33.778,60.18,78.232,14.128,11.678,26.404,110.28,123.99,165.102,165.18,96.898,-1.018,51.882,71.068,47.652,74.322,-68.218,230.69,-1,-0.6,21.54,-3.06,43.086,161.08,174.772,117.82,-4.536,-4.788,-4.032,0,-1.996,20.248,20.094,-0.008,40.76,133.442,11.338,28.456,-1.29,102.746,86.102,98.394,95.692,-2.7,-2.1,-1.4,-267.4,-285.4,0,-271.5,-268.1,22.47,91.4,77.932,37.54,0,0,0,618.96,0,0,0,0,0,57.6,85.43,314.524,337.586,30.74,-0.72,0,0,0,29.194,129.24,7.532,1.016,-71.848,-71.726,-1.6,-72.46,16.364,-152.2,0,-0.65,19.612,85.466,85.4,85.76,86.32,-0.042,55.12,0,99.72,51.28,65.528,0.008,-0.7,0,244,0,0,141.74,138.408,144.094,66.19,67.276,136.68,141.86,141.84,138.34,-0.002,0,0,-0.006,0,-0.004,95.42,-0.23,504.384,400.456,-53.184,647.2,560.752,106.814,-0.724,398.392,393.52,396.112,404.644,437.484,425.266,88.092,586.784,585.824,653,-51.362,-2.38,2.954,-4.14,-0.81,-0.16,36.06,44.144,-0.854,-0.648,192.254,79.454,4.256,3.59,-1.4,0,141.7,133.64,152.66,163.84,-2.12,-0.08,104.264,115.728,-3.506,50.19,60.52,27.052,32.678,31.7,31.678,-4.8,22.144,0,93.58,0,-1.9,-2.4,-0.7,-0.5,219,0.02,195.95,274.518,258.946,180.778,165.386,-2.2,71.432,89.224,-1.552,56.262,28.492,318.8,306.9,-0.7,-57.34,360.6,-1.646,-0.292,0,0,58.386,0,49.24,98.236,-2.958,-1.556,136.722,134.434,602.86,600.08,0,0,9.206,-2.5,-0.8,201,-0.7,-0.7,69.576,73.76,68.498,-0.298,-0.6,-0.7,-0.4,26.14,128,128,354.612,375.216,631.952,0,-32.92,-1.744,35.892,0,0,0,0,0,0,0,-2.6,0,202.342,-0.4,-0.562,189.088,189.628,13.868,26.666,295.308,155.62,5.06,57.648,173.466,295.048,329.014,159.34,196.182
9,77.8,30.23,33.106,49.58,42.222,13.896,11.778,26.338,110.268,123.994,165.132,165.166,100.238,-1.018,52.946,70.186,47.896,74.374,-68.598,230.63,-1.2,-1.4,22.3,-2.88,58.346,137.24,164.802,121.06,-4.536,-4.788,-4.158,0,-1.774,20.2,17.944,-0.01,41.82,131.378,11.342,28.276,-1.31,102.794,86.138,98.442,95.67,-2.6,-2.1,-1.4,-269,-287.1,0,-273.2,-214.3,22.044,91.64,78.882,36.954,0,0,0,627.04,0,0,0,0,0,58.372,85.53,314.892,338.086,30.94,-0.72,0,0,0,28.742,133.04,21.016,7.22,-72.208,-72.106,-1.6,-72.86,16.328,-153.1,0,-0.646,19.74,85.166,85.32,85.64,85.32,-0.042,55.13,0,99.66,49.06,58.864,13.748,-0.7,0,275.9,0,0,142.278,138.45,144.708,52.588,59.028,136.62,141.94,141.66,138.36,-0.002,0,0,-0.004,0,-0.004,80.46,-0.234,504.352,400.92,-53.44,646.896,561.032,106.734,-0.724,398.272,393.1,396.072,404.748,437.696,424.946,66.134,586.4,586.464,708,-49.92,-2.39,1.994,-4.04,-0.828,-0.16,22.35,38.144,-0.852,-0.646,191.682,79.97,4.136,3.59,-1.4,0,141.8,133.6,152.74,163.82,-2.12,-0.08,110.938,119.022,-3.452,50.144,58.2,26.198,27.742,31.72,31.678,-4.8,13.502,0,93.6,0,-2,-0.7,-0.7,-0.5,246.8,3.06,177.42,272.678,228.148,177.594,181.44,-2.2,71.456,89.234,-1.62,56.272,28.502,339.9,343.6,-0.8,-57.98,343.2,-1.654,-0.298,0,0,58.368,0,49.188,98.192,-2.952,-1.552,139.178,145.518,602.32,600.22,0,0,9.44,-2.6,-0.8,372,-0.7,-0.8,70.962,73.8,68.152,-0.3,-0.4,-0.7,-0.4,26.132,114.9,114.9,359.672,321.176,632.424,0,-33.016,-1.744,34.342,0,0,0,0,0,0,0,-2.646,0,182.66,-0.056,-0.02,186.248,186.708,13.844,26.61,290.224,155.24,5.53,57.298,173.436,299.986,328.934,159.26,169.422
10,83.12,30.622,32,0,-0.472,14.498,11.478,26.386,110.274,124.014,165.104,165.204,91.196,-0.998,47.186,67.696,47.76,74.39,-68.224,230.63,-1,-0.6,21.54,-2.88,59.26,101.12,51.786,119.98,-4.536,-4.788,-4.158,0,-1.97,20.204,17.576,-0.01,44.79,132.706,11.334,28.616,-1.33,101.346,86.124,98.306,95.628,-2.7,-2.1,-1.4,-266.7,-284.9,0,-270.7,-266.9,22.012,92.68,78.758,36.57,0,0,0,634.6,0,0,0,0,0,59.026,85.648,314.602,337.786,25.34,-0.864,0,0,0,29.09,134.4,19.42,7.228,-71.886,-71.806,-1.6,-72.52,16.338,0,0,-0.17,19.706,85.306,84.8,85.28,83.52,-0.042,55.134,0,87.62,43.74,58.458,1,-0.7,0,319.2,0,0,142.282,138.406,144.652,52.102,53.12,136.76,141.8,141.78,138.48,-0.002,0,0,-0.006,0,-0.004,-0.42,-0.234,504.312,400.8,-53.288,646.352,560.672,105.274,-0.73,398.452,393.42,396.092,404.534,438.596,425.56,72.86,586.488,585.52,681.2,-50.184,-2.4,2.71,-4.04,-0.826,-0.16,-0.17,43.212,-0.846,-0.64,193.16,80.274,4.156,3.588,-1.4,0,141.74,133.66,152.78,163.94,-2.12,-0.08,124.484,133.392,-3.468,50.212,57.88,27.618,-2.05,1.84,23.876,-4.8,15.406,0,93.6,0,-2,-0.6,-0.7,-0.6,242.6,0.02,159.52,259.578,206.788,185.752,187.968,-2.2,71.458,89.236,-1.608,52.496,0.41,329.6,342.5,-0.7,-58.14,366.4,-1.652,-0.312,0,0,58.402,0,49.216,98.216,-2.972,-1.552,141.382,149.564,602.78,600.04,0,0,8.72,-2.7,-0.8,402.2,-0.7,-0.7,70.968,73.824,68.516,-0.298,-0.6,-0.7,-0.4,26.134,111.9,111.9,379.892,279.856,632.288,0,-32.976,-1.736,31.51,0,0,0,0,0,0,0,-2.606,0,186.85,0.106,0.09,185.408,186.548,13.854,26.632,299.246,151.22,6.45,55.276,173.45,299.966,328.954,159.32,179.322
