bmUnit,settlementPeriod,settlementRunType,quantity,average_MW
T_AFTOW-1,1,DF,-0.187,-0.374
T_AKGLW-2,1,DF,-0.132,-0.264
T_AKGLW-3,1,DF,-0.14,-0.28
T_BEINW-1,1,DF,-0.026000000000000002,-0.052000000000000005
T_BLLA-1,1,DF,-0.232,-0.464
T_BLLA-2,1,DF,-0.015,-0.03
T_BPGRD-1,1,DF,-27.034,-54.068
T_BRBEO-1,1,DF,-0.884,-1.768
T_CLDSW-1,1,DF,-0.61,-1.22
T_CNQPS-1,1,DF,-1.26,-2.52
T_CNQPS-3,1,DF,-2.457,-4.914
T_CNQPS-4,1,DF,-1.764,-3.528
T_COSO-1,1,DF,-0.912,-1.824
T_CRGHD-1,1,DF,-0.003,-0.006
T_CRYRW-3,1,DF,-0.092,-0.184
T_DAMC-1,1,DF,-1.945,-3.89
T_DDGNO-1,1,DF,-0.136,-0.272
T_DDGNO-4,1,DF,-0.125,-0.25
T_DIDCB6,1,DF,-0.7000000000000001,-1.4000000000000001
T_DINO-3,1,DF,-0.65,-1.3
T_DINO-5,1,DF,-0.7000000000000001,-1.4000000000000001
T_DNLWW-1,1,DF,-0.094,-0.188
T_DOREW-2,1,DF,-0.015,-0.03
T_DOUGW-1,1,DF,-0.054,-0.108
T_DRSLW-1,1,DF,-0.27,-0.54
T_EWHLW-1,1,DF,-0.091,-0.182
T_FASN-1,1,DF,-0.003,-0.006
T_FASN-2,1,DF,-0.001,-0.002
T_FERGD-1,1,DF,-0.244,-0.488
T_FERGD-2,1,DF,-0.835,-1.67
T_FFES-1,1,DF,-0.803,-1.606
T_FFES-2,1,DF,-0.013000000000000001,-0.026000000000000002
T_FFES-3,1,DF,-0.02,-0.04
T_FFES-4,1,DF,-0.97,-1.94
T_FOYED-1,1,DF,-0.535,-1.07
T_FSDLW-1,1,DF,-0.024,-0.048
T_GNAPW-1,1,DF,-0.06,-0.12
T_GORDW-2,1,DF,-0.085,-0.17
T_GRAI-7,1,DF,-0.3,-0.6
T_GRIFW-1,1,DF,-0.5660000000000001,-1.1320000000000001
T_GRIFW-2,1,DF,-0.538,-1.076
T_GYMR-15,1,DF,-0.4,-0.8
T_GYMR-17,1,DF,-0.47000000000000003,-0.9400000000000001
T_GYMR-26,1,DF,-0.37,-0.74
T_GYMR-28,1,DF,-0.23,-0.46
T_GYMRD-16,1,DF,-0.001,-0.002
T_GYMRD-E10,1,DF,-0.001,-0.002
T_GYMRD-E11,1,DF,-0.003,-0.006
T_GYMRD-W11,1,DF,-0.006,-0.012
T_HADHW-1,1,DF,-0.229,-0.458
T_HEYM2-D,1,DF,-21.22,-42.44
T_HEYM28,1,DF,-8.604,-17.208
T_HRSTW-1,1,DF,-0.319,-0.638
T_HRTL-2,1,DF,-1.6360000000000001,-3.2720000000000002
T_HUMRD-1,1,DF,-25.11,-50.22
T_INDQ-1,1,DF,-1.16,-2.32
T_KEAD-1,1,DF,-0.92,-1.84
T_KEADGT-3,1,DF,-0.08,-0.16
T_KILLPG-1,1,DF,-0.378,-0.756
T_KILLPG-2,1,DF,-0.272,-0.544
T_KTHLW-1,1,DF,-0.009000000000000001,-0.018000000000000002
T_LAGA-1,1,DF,-0.5,-1.0
T_LARKS-1,1,DF,-0.045,-0.09
T_LBAR-1G,1,DF,-0.02,-0.04
T_MKHLW-1,1,DF,-0.035,-0.07
T_MOWEO-1,1,DF,-0.002,-0.004
T_MRWD-1,1,DF,-0.3,-0.6
T_MYGPW-1,1,DF,-0.048,-0.096
T_PNYCB-1,1,DF,-0.015,-0.03
T_RCBKO-1,1,DF,-1.201,-2.402
T_RCBKO-2,1,DF,-1.212,-2.424
T_ROCK-1,1,DF,-1.5,-3.0
T_RREW-1,1,DF,-0.248,-0.496
T_RRWW-1,1,DF,-0.257,-0.514
T_SCCL-4,1,DF,-24.19,-48.38
T_SEEL-1,1,DF,-0.17400000000000002,-0.34800000000000003
T_SGRWO-3,1,DF,-0.56,-1.12
T_SGRWO-4,1,DF,-0.492,-0.984
T_SGRWO-5,1,DF,-0.91,-1.82
T_SGRWO-6,1,DF,-1.505,-3.01
T_SHBA-2,1,DF,-0.257,-0.514
T_SHRSW-1,1,DF,-0.527,-1.054
T_SHRSW-2,1,DF,-0.463,-0.926
T_SOKYW-1,1,DF,-0.01,-0.02
T_STLGW-1,1,DF,-0.28,-0.56
T_STLGW-2,1,DF,-0.227,-0.454
T_STLGW-3,1,DF,-0.293,-0.586
T_SUTB-1,1,DF,-0.5,-1.0
T_SVRP-10,1,DF,-0.25,-0.5
T_SVRP-20,1,DF,-0.2,-0.4
T_TDBNW-1,1,DF,-0.048,-0.096
T_TKNEW-1,1,DF,-2.614,-5.228
T_TKNWW-1,1,DF,-0.002,-0.004
T_TORN-D,1,DF,-24.4,-48.8
T_TSREP-1,1,DF,-1.096,-2.192
T_WHILW-1,1,DF,-0.605,-1.21
T_WHILW-2,1,DF,-0.279,-0.558
T_WISTW-2,1,DF,-0.07,-0.14
T_WLNYO-3,1,DF,-0.388,-0.776
T_AFTOW-1,2,DF,-0.209,-0.418
T_AKGLW-3,2,DF,-0.014,-0.028
T_BEINW-1,2,DF,-0.149,-0.298
T_BLLA-1,2,DF,-0.225,-0.45
T_BLLA-2,2,DF,-0.098,-0.196
T_BPGRD-1,2,DF,-26.954,-53.908
T_BRBEO-1,2,DF,-0.9,-1.8
T_CASKD-1,2,DF,-0.06,-0.12
T_CLDSW-1,2,DF,-0.312,-0.624
T_CNQPS-1,2,DF,-0.9450000000000001,-1.8900000000000001
