bmUnit,negative_period_count,min_outturn_MW,mean_negative_outturn_MW,sum_negative_energy_MWh,date,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_DINO-3,39,-299.4,-108.24615384615386,-2110.8,2023-01-11,Dinorwig 3,PS,T,P
T_DINO-3,37,-295.8,-114.97297297297297,-2127.0,2023-01-04,Dinorwig 3,PS,T,P
T_DINO-3,38,-293.7,-89.03157894736842,-1691.6,2023-01-25,Dinorwig 3,PS,T,P
T_DINO-3,40,-291.6,-70.365,-1407.3,2023-01-18,Dinorwig 3,PS,T,P
T_DINO-5,24,-288.0,-150.77083333333334,-1809.25,2023-01-11,Dinorwig 5,PS,T,P
T_DINO-6,34,-286.5,-103.03235294117647,-1751.55,2023-01-11,Dinorwig 6,PS,T,P
T_DINO-5,35,-284.3,-121.69142857142856,-2129.6,2023-01-04,Dinorwig 5,PS,T,P
T_DINO-2,36,-284.3,-96.55,-1737.8999999999999,2023-01-11,Dinorwig 2,PS,T,P
T_DINO-6,39,-284.0,-120.17179487179487,-2343.35,2023-01-04,Dinorwig 6,PS,T,P
T_DINO-2,31,-280.2,-122.71612903225805,-1902.1,2023-01-04,Dinorwig 2,PS,T,P
T_DINO-6,38,-279.0,-98.3,-1867.7,2023-01-25,Dinorwig 6,PS,T,P
T_DINO-5,36,-278.2,-71.88055555555555,-1293.85,2023-01-25,Dinorwig 5,PS,T,P
T_DINO-5,30,-277.4,-79.32,-1189.8,2023-01-18,Dinorwig 5,PS,T,P
T_DINO-6,40,-276.5,-75.30499999999999,-1506.1,2023-01-18,Dinorwig 6,PS,T,P
T_DINO-2,31,-276.0,-108.26129032258065,-1678.05,2023-01-25,Dinorwig 2,PS,T,P
T_DINO-2,36,-275.1,-73.38888888888889,-1321.0,2023-01-18,Dinorwig 2,PS,T,P
T_FOYE-2,24,-155.7,-97.95416666666667,-1175.45,2023-07-19,Foyers G2,PS,T,P
T_FOYE-2,35,-155.3,-19.4,-339.5,2023-07-12,Foyers G2,PS,T,P
T_FOYE-2,26,-155.3,-65.91538461538461,-856.9,2023-07-26,Foyers G2,PS,T,P
T_FOYE-1,18,-155.1,-123.2388888888889,-1109.15,2023-01-04,Foyers G1,PS,T,P
T_FOYE-2,14,-154.8,-138.0285714285714,-966.1999999999999,2023-01-04,Foyers G2,PS,T,P
T_FOYE-2,15,-154.7,-53.0,-397.5,2023-01-25,Foyers G2,PS,T,P
T_FOYE-2,8,-154.4,-48.125,-192.5,2023-01-18,Foyers G2,PS,T,P
T_FOYE-1,20,-153.8,-88.46000000000001,-884.6,2023-07-05,Foyers G1,PS,T,P
T_FOYE-2,29,-153.8,-56.244827586206895,-815.55,2023-07-05,Foyers G2,PS,T,P
T_FOYE-1,14,-153.5,-22.585714285714285,-158.1,2023-01-18,Foyers G1,PS,T,P
T_FOYE-1,9,-153.4,-118.95555555555555,-535.3,2023-01-11,Foyers G1,PS,T,P
T_FOYE-1,26,-151.0,-12.86153846153846,-167.2,2023-07-26,Foyers G1,PS,T,P
T_FFES-4,45,-74.26,-21.296444444444447,-479.17,2023-01-25,Ffestioniog 4,PS,T,P
T_FFES-4,42,-74.22,-19.392857142857142,-407.25,2023-01-11,Ffestioniog 4,PS,T,P
T_BPGRD-1,48,-74.102,-72.44733333333333,-1738.7359999999999,2023-01-25,T_BPGRD-1,,T,P
T_FFES-4,41,-74.08,-21.537073170731706,-441.51,2023-01-18,Ffestioniog 4,PS,T,P
T_FFES-4,44,-73.92,-16.201363636363638,-356.43,2023-07-12,Ffestioniog 4,PS,T,P
T_FFES-4,43,-73.88,-20.047906976744187,-431.03000000000003,2023-07-19,Ffestioniog 4,PS,T,P
