source_settlement_period,target_settlement_period,L1_cost_MW,pair_id,january_day,july_day,primary_ordinal_pair,universe
1,3,20203.814,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
2,10,16689.79,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
3,1,21155.242,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
4,5,18642.866,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
5,4,19364.956,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
6,11,16205.788,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
7,9,16551.31,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
8,12,15588.962,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
9,8,16709.068,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
10,6,17803.416,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
11,7,17798.684,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
12,14,16051.082,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
13,13,15729.984,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
14,15,16443.068,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
15,37,20914.734,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
16,36,20632.322,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
17,35,19561.474,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
18,25,16074.912,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
19,18,14774.768,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
20,29,15967.512,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
21,20,14411.148,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
22,28,14586.938,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
23,34,16529.72,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
24,30,15936.068,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
25,23,15199.79,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
26,22,14869.37,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
27,33,15813.582,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
28,38,19220.106,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
29,19,14259.89,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
30,16,14153.568,2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common
