pair_id,universe,bmUnit
2023-01-04__2023-07-05,pairwise_common,T_ABRBO-1
2023-01-04__2023-07-05,pairwise_common,T_ACHRW-1
2023-01-04__2023-07-05,pairwise_common,T_AFTOW-1
2023-01-04__2023-07-05,pairwise_common,T_AKGLW-2
2023-01-04__2023-07-05,pairwise_common,T_AKGLW-3
2023-01-04__2023-07-05,pairwise_common,T_ANSUW-1
2023-01-04__2023-07-05,pairwise_common,T_ARCHW-1
2023-01-04__2023-07-05,pairwise_common,T_BDCHW-1
2023-01-04__2023-07-05,pairwise_common,T_BEATO-1
2023-01-04__2023-07-05,pairwise_common,T_BEATO-2
2023-01-04__2023-07-05,pairwise_common,T_BEATO-3
2023-01-04__2023-07-05,pairwise_common,T_BEATO-4
2023-01-04__2023-07-05,pairwise_common,T_BEINW-1
2023-01-04__2023-07-05,pairwise_common,T_BHLAW-1
2023-01-04__2023-07-05,pairwise_common,T_BLKWW-1
2023-01-04__2023-07-05,pairwise_common,T_BLLA-1
2023-01-04__2023-07-05,pairwise_common,T_BLLA-2
2023-01-04__2023-07-05,pairwise_common,T_BOWLW-1
2023-01-04__2023-07-05,pairwise_common,T_BPGRD-1
2023-01-04__2023-07-05,pairwise_common,T_BRBEO-1
2023-01-04__2023-07-05,pairwise_common,T_CARR-1
2023-01-04__2023-07-05,pairwise_common,T_CARR-2
2023-01-04__2023-07-05,pairwise_common,T_CASKD-1
2023-01-04__2023-07-05,pairwise_common,T_CDCL-1
2023-01-04__2023-07-05,pairwise_common,T_CGTHW-1
2023-01-04__2023-07-05,pairwise_common,T_CLDCW-1
2023-01-04__2023-07-05,pairwise_common,T_CLDNW-1
2023-01-04__2023-07-05,pairwise_common,T_CLDSW-1
2023-01-04__2023-07-05,pairwise_common,T_CNQPS-1
2023-01-04__2023-07-05,pairwise_common,T_CNQPS-2
2023-01-04__2023-07-05,pairwise_common,T_CNQPS-3
2023-01-04__2023-07-05,pairwise_common,T_CNQPS-4
2023-01-04__2023-07-05,pairwise_common,T_COSO-1
2023-01-04__2023-07-05,pairwise_common,T_COUWW-1
2023-01-04__2023-07-05,pairwise_common,T_CREAW-1
2023-01-04__2023-07-05,pairwise_common,T_CRGHD-1
2023-01-04__2023-07-05,pairwise_common,T_CRGHW-1
2023-01-04__2023-07-05,pairwise_common,T_CRYRW-2
2023-01-04__2023-07-05,pairwise_common,T_CRYRW-3
2023-01-04__2023-07-05,pairwise_common,T_DALQW-1
2023-01-04__2023-07-05,pairwise_common,T_DAMC-1
2023-01-04__2023-07-05,pairwise_common,T_DDGNO-1
2023-01-04__2023-07-05,pairwise_common,T_DDGNO-2
2023-01-04__2023-07-05,pairwise_common,T_DDGNO-3
2023-01-04__2023-07-05,pairwise_common,T_DDGNO-4
2023-01-04__2023-07-05,pairwise_common,T_DIDCB5
2023-01-04__2023-07-05,pairwise_common,T_DIDCB6
2023-01-04__2023-07-05,pairwise_common,T_DINO-1
2023-01-04__2023-07-05,pairwise_common,T_DINO-2
2023-01-04__2023-07-05,pairwise_common,T_DINO-3
2023-01-04__2023-07-05,pairwise_common,T_DINO-4
2023-01-04__2023-07-05,pairwise_common,T_DINO-5
2023-01-04__2023-07-05,pairwise_common,T_DINO-6
2023-01-04__2023-07-05,pairwise_common,T_DNLWW-1
2023-01-04__2023-07-05,pairwise_common,T_DOREW-1
2023-01-04__2023-07-05,pairwise_common,T_DOREW-2
2023-01-04__2023-07-05,pairwise_common,T_DOUGW-1
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-1
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-10G
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-12G
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-2
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-3
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-4
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-5
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-6
2023-01-04__2023-07-05,pairwise_common,T_DRAXX-9G
2023-01-04__2023-07-05,pairwise_common,T_DRSLW-1
2023-01-04__2023-07-05,pairwise_common,T_DUNGW-1
2023-01-04__2023-07-05,pairwise_common,T_EAAO-1
2023-01-04__2023-07-05,pairwise_common,T_EAAO-2
2023-01-04__2023-07-05,pairwise_common,T_EDINW-1
2023-01-04__2023-07-05,pairwise_common,T_EECL-1
2023-01-04__2023-07-05,pairwise_common,T_ERRO-1
2023-01-04__2023-07-05,pairwise_common,T_ERRO-2
2023-01-04__2023-07-05,pairwise_common,T_ERRO-3
2023-01-04__2023-07-05,pairwise_common,T_EWHLW-1
2023-01-04__2023-07-05,pairwise_common,T_FALGW-1
2023-01-04__2023-07-05,pairwise_common,T_FASN-1
2023-01-04__2023-07-05,pairwise_common,T_FASN-2
2023-01-04__2023-07-05,pairwise_common,T_FFES-1
2023-01-04__2023-07-05,pairwise_common,T_FFES-2
2023-01-04__2023-07-05,pairwise_common,T_FFES-3
2023-01-04__2023-07-05,pairwise_common,T_FFES-4
2023-01-04__2023-07-05,pairwise_common,T_FINL-1
2023-01-04__2023-07-05,pairwise_common,T_FOYE-1
2023-01-04__2023-07-05,pairwise_common,T_FOYE-2
2023-01-04__2023-07-05,pairwise_common,T_FOYED-1
2023-01-04__2023-07-05,pairwise_common,T_FSDLW-1
2023-01-04__2023-07-05,pairwise_common,T_GANW-11
2023-01-04__2023-07-05,pairwise_common,T_GANW-13
2023-01-04__2023-07-05,pairwise_common,T_GANW-22
2023-01-04__2023-07-05,pairwise_common,T_GANW-24
2023-01-04__2023-07-05,pairwise_common,T_GLNDO-1
2023-01-04__2023-07-05,pairwise_common,T_GLWSW-1
2023-01-04__2023-07-05,pairwise_common,T_GNAPW-1
2023-01-04__2023-07-05,pairwise_common,T_GNFSW-1
2023-01-04__2023-07-05,pairwise_common,T_GNFSW-2
2023-01-04__2023-07-05,pairwise_common,T_GORDW-1
2023-01-04__2023-07-05,pairwise_common,T_GORDW-2
2023-01-04__2023-07-05,pairwise_common,T_GRAI-6
2023-01-04__2023-07-05,pairwise_common,T_GRAI-7
2023-01-04__2023-07-05,pairwise_common,T_GRAI-8
2023-01-04__2023-07-05,pairwise_common,T_GRAI1G
2023-01-04__2023-07-05,pairwise_common,T_GRAI4G
2023-01-04__2023-07-05,pairwise_common,T_GRGBW-1
2023-01-04__2023-07-05,pairwise_common,T_GRGBW-2
2023-01-04__2023-07-05,pairwise_common,T_GRGBW-3
2023-01-04__2023-07-05,pairwise_common,T_GRIFW-1
2023-01-04__2023-07-05,pairwise_common,T_GRIFW-2
2023-01-04__2023-07-05,pairwise_common,T_GYMR-15
2023-01-04__2023-07-05,pairwise_common,T_GYMR-17
2023-01-04__2023-07-05,pairwise_common,T_GYMR-26
2023-01-04__2023-07-05,pairwise_common,T_GYMR-28
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-16
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-2
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-E10
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-E11
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-W10
2023-01-04__2023-07-05,pairwise_common,T_GYMRD-W11
2023-01-04__2023-07-05,pairwise_common,T_HADHW-1
2023-01-04__2023-07-05,pairwise_common,T_HALSW-1
2023-01-04__2023-07-05,pairwise_common,T_HEYM11
2023-01-04__2023-07-05,pairwise_common,T_HEYM12
2023-01-04__2023-07-05,pairwise_common,T_HEYM2-D
2023-01-04__2023-07-05,pairwise_common,T_HEYM27
2023-01-04__2023-07-05,pairwise_common,T_HEYM28
2023-01-04__2023-07-05,pairwise_common,T_HMGTO-1
2023-01-04__2023-07-05,pairwise_common,T_HMGTO-2
2023-01-04__2023-07-05,pairwise_common,T_HOWAO-1
2023-01-04__2023-07-05,pairwise_common,T_HOWAO-2
2023-01-04__2023-07-05,pairwise_common,T_HOWAO-3
2023-01-04__2023-07-05,pairwise_common,T_HOWBO-1
2023-01-04__2023-07-05,pairwise_common,T_HOWBO-2
2023-01-04__2023-07-05,pairwise_common,T_HOWBO-3
2023-01-04__2023-07-05,pairwise_common,T_HRSTW-1
2023-01-04__2023-07-05,pairwise_common,T_HRTL-1
2023-01-04__2023-07-05,pairwise_common,T_HRTL-2
2023-01-04__2023-07-05,pairwise_common,T_HUMR-1
2023-01-04__2023-07-05,pairwise_common,T_HUMRD-1
2023-01-04__2023-07-05,pairwise_common,T_INDQ-1
2023-01-04__2023-07-05,pairwise_common,T_JGPR-1
2023-01-04__2023-07-05,pairwise_common,T_KEAD-1
2023-01-04__2023-07-05,pairwise_common,T_KEAD-2
2023-01-04__2023-07-05,pairwise_common,T_KEADGT-3
2023-01-04__2023-07-05,pairwise_common,T_KENNW-1
2023-01-04__2023-07-05,pairwise_common,T_KILBW-1
2023-01-04__2023-07-05,pairwise_common,T_KILLPG-1
2023-01-04__2023-07-05,pairwise_common,T_KILLPG-2
2023-01-04__2023-07-05,pairwise_common,T_KLGLW-1
2023-01-04__2023-07-05,pairwise_common,T_KPMRW-1
2023-01-04__2023-07-05,pairwise_common,T_KTHLW-1
2023-01-04__2023-07-05,pairwise_common,T_KYPEW-1
2023-01-04__2023-07-05,pairwise_common,T_LAGA-1
2023-01-04__2023-07-05,pairwise_common,T_LARYW-1
2023-01-04__2023-07-05,pairwise_common,T_LARYW-2
2023-01-04__2023-07-05,pairwise_common,T_LARYW-3
2023-01-04__2023-07-05,pairwise_common,T_LARYW-4
2023-01-04__2023-07-05,pairwise_common,T_LBAR-1
2023-01-04__2023-07-05,pairwise_common,T_LBAR-1G
2023-01-04__2023-07-05,pairwise_common,T_LNCSW-1
2023-01-04__2023-07-05,pairwise_common,T_LNCSW-2
2023-01-04__2023-07-05,pairwise_common,T_MEDP-1
2023-01-04__2023-07-05,pairwise_common,T_MIDMW-1
2023-01-04__2023-07-05,pairwise_common,T_MILWW-1
2023-01-04__2023-07-05,pairwise_common,T_MKHLW-1
2023-01-04__2023-07-05,pairwise_common,T_MOWEO-1
2023-01-04__2023-07-05,pairwise_common,T_MOWEO-2
2023-01-04__2023-07-05,pairwise_common,T_MOWEO-3
2023-01-04__2023-07-05,pairwise_common,T_MRWD-1
2023-01-04__2023-07-05,pairwise_common,T_MYGPW-1
2023-01-04__2023-07-05,pairwise_common,T_NANT-1
2023-01-04__2023-07-05,pairwise_common,T_OMNDW-1
2023-01-04__2023-07-05,pairwise_common,T_PEHE-1
2023-01-04__2023-07-05,pairwise_common,T_PEMB-11
2023-01-04__2023-07-05,pairwise_common,T_PEMB-21
2023-01-04__2023-07-05,pairwise_common,T_PEMB-31
2023-01-04__2023-07-05,pairwise_common,T_PEMB-41
2023-01-04__2023-07-05,pairwise_common,T_PEMB-51
2023-01-04__2023-07-05,pairwise_common,T_PNYCB-1
2023-01-04__2023-07-05,pairwise_common,T_PNYCW-1
2023-01-04__2023-07-05,pairwise_common,T_RCBKO-1
2023-01-04__2023-07-05,pairwise_common,T_RCBKO-2
2023-01-04__2023-07-05,pairwise_common,T_RMPNO-1
2023-01-04__2023-07-05,pairwise_common,T_RMPNO-2
2023-01-04__2023-07-05,pairwise_common,T_ROCK-1
2023-01-04__2023-07-05,pairwise_common,T_RREW-1
2023-01-04__2023-07-05,pairwise_common,T_RRWW-1
2023-01-04__2023-07-05,pairwise_common,T_RYHPS-1
2023-01-04__2023-07-05,pairwise_common,T_SAKNW-1
2023-01-04__2023-07-05,pairwise_common,T_SANQW-1
2023-01-04__2023-07-05,pairwise_common,T_SCCL-1
2023-01-04__2023-07-05,pairwise_common,T_SCCL-2
2023-01-04__2023-07-05,pairwise_common,T_SCCL-3
2023-01-04__2023-07-05,pairwise_common,T_SCCL-4
2023-01-04__2023-07-05,pairwise_common,T_SEAB-1
2023-01-04__2023-07-05,pairwise_common,T_SEAB-2
2023-01-04__2023-07-05,pairwise_common,T_SEEL-1
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-1
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-2
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-3
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-4
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-5
2023-01-04__2023-07-05,pairwise_common,T_SGRWO-6
2023-01-04__2023-07-05,pairwise_common,T_SHBA-1
2023-01-04__2023-07-05,pairwise_common,T_SHBA-2
2023-01-04__2023-07-05,pairwise_common,T_SHRSW-1
2023-01-04__2023-07-05,pairwise_common,T_SHRSW-2
2023-01-04__2023-07-05,pairwise_common,T_SIZB-1
2023-01-04__2023-07-05,pairwise_common,T_SIZB-2
2023-01-04__2023-07-05,pairwise_common,T_SLOY-2
2023-01-04__2023-07-05,pairwise_common,T_SLOY-3
2023-01-04__2023-07-05,pairwise_common,T_SOKYW-1
2023-01-04__2023-07-05,pairwise_common,T_SPLN-1
2023-01-04__2023-07-05,pairwise_common,T_STAY-1
2023-01-04__2023-07-05,pairwise_common,T_STAY-2
2023-01-04__2023-07-05,pairwise_common,T_STAY-3
2023-01-04__2023-07-05,pairwise_common,T_STAY-4
2023-01-04__2023-07-05,pairwise_common,T_STLGW-1
2023-01-04__2023-07-05,pairwise_common,T_STLGW-2
2023-01-04__2023-07-05,pairwise_common,T_STLGW-3
2023-01-04__2023-07-05,pairwise_common,T_STRNW-1
2023-01-04__2023-07-05,pairwise_common,T_SUTB-1
2023-01-04__2023-07-05,pairwise_common,T_SVRP-10
2023-01-04__2023-07-05,pairwise_common,T_SVRP-20
2023-01-04__2023-07-05,pairwise_common,T_TDBNW-1
2023-01-04__2023-07-05,pairwise_common,T_THNTO-1
2023-01-04__2023-07-05,pairwise_common,T_THNTO-2
2023-01-04__2023-07-05,pairwise_common,T_TKNEW-1
2023-01-04__2023-07-05,pairwise_common,T_TKNWW-1
2023-01-04__2023-07-05,pairwise_common,T_TORN-1
2023-01-04__2023-07-05,pairwise_common,T_TORN-2
2023-01-04__2023-07-05,pairwise_common,T_TORN-D
2023-01-04__2023-07-05,pairwise_common,T_TSREP-1
2023-01-04__2023-07-05,pairwise_common,T_TWSHW-1
2023-01-04__2023-07-05,pairwise_common,T_USKM-13
2023-01-04__2023-07-05,pairwise_common,T_WBUGT-1
2023-01-04__2023-07-05,pairwise_common,T_WBUGT-4
2023-01-04__2023-07-05,pairwise_common,T_WBUPS-1
2023-01-04__2023-07-05,pairwise_common,T_WBUPS-2
2023-01-04__2023-07-05,pairwise_common,T_WBUPS-3
