pair_id,january_day,july_day,primary_ordinal_pair,universe,n_coordinates,n_atoms_each_day,M_mean_L1_MW,W1_empirical_L1_MW,G_shape_MW,shape_share_percent,W1_same_settlement_period_L1_MW,same_period_premium_MW,same_period_premium_percent,inequalities_verified,transportation_LP_W1_MW,LP_assignment_abs_difference_MW,transportation_LP_verified
2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,pairwise_common,259,48,16056.2690417,17170.445125,1114.17608333,6.48891787733,17439.0592917,268.614166667,1.56439838753,True,17170.445125,3.63797880709e-12,True
2023-01-04__2023-07-05,2023-01-04,2023-07-05,True,fixed_common_eight_days,259,48,16056.2690417,17170.445125,1114.17608333,6.48891787733,17439.0592917,268.614166667,1.56439838753,True,17170.445125,3.63797880709e-12,True
2023-01-04__2023-07-12,2023-01-04,2023-07-12,False,pairwise_common,259,48,16934.164875,18249.8635417,1315.69866667,7.20936166817,18975.161625,725.298083333,3.97426578932,True,18249.8635417,0,True
2023-01-04__2023-07-12,2023-01-04,2023-07-12,False,fixed_common_eight_days,259,48,16934.164875,18249.8635417,1315.69866667,7.20936166817,18975.161625,725.298083333,3.97426578932,True,18249.8635417,0,True
2023-01-04__2023-07-19,2023-01-04,2023-07-19,False,pairwise_common,259,48,24885.0074583,25777.0929583,892.0855,3.46076844834,26026.808875,249.715916667,0.968751274903,True,25777.0929583,3.63797880709e-12,True
2023-01-04__2023-07-19,2023-01-04,2023-07-19,False,fixed_common_eight_days,259,48,24885.0074583,25777.0929583,892.0855,3.46076844834,26026.808875,249.715916667,0.968751274903,True,25777.0929583,3.63797880709e-12,True
2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common,259,48,22480.1887083,23479.2350417,999.046333333,4.25502079416,23877.2794583,398.044416667,1.69530402486,True,23479.2350417,0,True
2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days,259,48,22480.1887083,23479.2350417,999.046333333,4.25502079416,23877.2794583,398.044416667,1.69530402486,True,23479.2350417,0,True
2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common,260,48,18241.7430833,19593.76425,1352.02116667,6.90026249891,19829.5123333,235.748083333,1.20317913559,True,19593.76425,0,True
2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days,259,48,18230.411625,19582.344875,1351.93325,6.90383740369,19818.0929583,235.748083333,1.20388076524,True,19582.344875,3.63797880709e-12,True
2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common,260,48,19553.6475833,20776.83725,1223.18966667,5.88727558458,21016.4876667,239.650416667,1.15344993939,True,20776.83725,3.63797880709e-12,True
2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days,259,48,19538.3640417,20761.4849583,1223.12091667,5.8912978485,21001.135375,239.650416667,1.1543028697,True,20761.4849583,3.63797880709e-12,True
2023-01-11__2023-07-19,2023-01-11,2023-07-19,False,pairwise_common,260,48,25365.6336667,26320.3663333,954.732666667,3.62735326164,26516.8050833,196.43875,0.746337446494,True,26320.3663333,0,True
2023-01-11__2023-07-19,2023-01-11,2023-07-19,False,fixed_common_eight_days,259,48,25352.943875,26307.6027917,954.658916667,3.62883279114,26504.0415417,196.43875,0.746699543686,True,26307.6027917,7.27595761418e-12,True
2023-01-11__2023-07-26,2023-01-11,2023-07-26,False,pairwise_common,260,48,23288.7507917,24165.852125,877.101333333,3.62950716075,24567.6374583,401.785333333,1.66261603876,True,24165.852125,7.27595761418e-12,True
2023-01-11__2023-07-26,2023-01-11,2023-07-26,False,fixed_common_eight_days,259,48,23279.779125,24156.8054583,877.026333333,3.63055593111,24558.5907917,401.785333333,1.66323868455,True,24156.8054583,0,True
2023-01-18__2023-07-05,2023-01-18,2023-07-05,False,pairwise_common,260,48,18208.7924167,20215.1521667,2006.35975,9.92502917346,21289.6906667,1074.5385,5.31551032187,True,20215.1521667,0,True
2023-01-18__2023-07-05,2023-01-18,2023-07-05,False,fixed_common_eight_days,259,48,18197.4609583,20203.7327917,2006.27183333,9.93020375997,21278.2712917,1074.5385,5.31851470756,True,20203.7327917,0,True
2023-01-18__2023-07-12,2023-01-18,2023-07-12,False,pairwise_common,260,48,16237.9983333,18296.9418333,2058.9435,11.2529378885,19088.9445,792.002666667,4.32860679058,True,18296.9418333,7.27595761418e-12,True
2023-01-18__2023-07-12,2023-01-18,2023-07-12,False,fixed_common_eight_days,259,48,16222.7147917,18281.5895417,2058.87475,11.2620116829,19073.5922083,792.002666667,4.33224181552,True,18281.5895417,3.63797880709e-12,True
2023-01-18__2023-07-19,2023-01-18,2023-07-19,True,pairwise_common,260,48,19570.9933333,20951.3695,1380.37616667,6.58847702851,21321.2643333,369.894833333,1.76549238623,True,20951.3695,3.63797880709e-12,True
2023-01-18__2023-07-19,2023-01-18,2023-07-19,True,fixed_common_eight_days,259,48,19558.3035417,20938.6059583,1380.30241667,6.59214094488,21308.5007917,369.894833333,1.76656857706,True,20938.6059583,1.09139364213e-11,True
2023-01-18__2023-07-26,2023-01-18,2023-07-26,False,pairwise_common,260,48,17459.621625,19591.7767083,2132.15508333,10.8829082481,20356.3127083,764.536,3.90233112281,True,19591.7767083,3.63797880709e-12,True
2023-01-18__2023-07-26,2023-01-18,2023-07-26,False,fixed_common_eight_days,259,48,17450.6499583,19582.7300417,2132.08008333,10.8875528529,20347.2660417,764.536,3.90413388927,True,19582.7300417,3.63797880709e-12,True
2023-01-25__2023-07-05,2023-01-25,2023-07-05,False,pairwise_common,260,48,19580.7150417,21490.685125,1909.97008333,8.88743226297,23501.1247083,2010.43958333,9.35493480845,True,21490.685125,3.63797880709e-12,True
2023-01-25__2023-07-05,2023-01-25,2023-07-05,False,fixed_common_eight_days,259,48,19569.3835833,21479.26575,1909.88216667,8.89174792517,23489.7053333,2010.43958333,9.35990832616,True,21479.26575,0,True
2023-01-25__2023-07-12,2023-01-25,2023-07-12,False,pairwise_common,260,48,17174.6395417,19840.995625,2666.35608333,13.4386203885,20946.2900417,1105.29441667,5.5707608507,True,19840.995625,0,True
2023-01-25__2023-07-12,2023-01-25,2023-07-12,False,fixed_common_eight_days,259,48,17159.356,19825.6433333,2666.28733333,13.4486800176,20930.93775,1105.29441667,5.575074655,True,19825.6433333,0,True
2023-01-25__2023-07-19,2023-01-25,2023-07-19,False,pairwise_common,260,48,16635.633625,18461.352875,1825.71925,9.88941201851,18920.3882083,459.035333333,2.48646638435,True,18461.352875,0,True
2023-01-25__2023-07-19,2023-01-25,2023-07-19,False,fixed_common_eight_days,259,48,16622.9438333,18448.5893333,1825.6455,9.89585418708,18907.6246667,459.035333333,2.48818663064,True,18448.5893333,3.63797880709e-12,True
2023-01-25__2023-07-26,2023-01-25,2023-07-26,True,pairwise_common,260,48,16178.1635,18716.0870833,2537.92358333,13.5601184801,19177.8001667,461.713083333,2.46693168971,True,18716.0870833,3.63797880709e-12,True
2023-01-25__2023-07-26,2023-01-25,2023-07-26,True,fixed_common_eight_days,259,48,16169.1918333,18707.0404167,2537.84858333,13.5662751927,19168.7535,461.713083333,2.46812469022,True,18707.0404167,0,True
