date,fuelType_acquisition_date_registry,complete_units,fixed_common_units
2023-01-04,BIOMASS,8,8
2023-01-04,CCGT,50,50
2023-01-04,COAL,6,6
2023-01-04,NPSHYD,10,10
2023-01-04,NUCLEAR,10,10
2023-01-04,OCGT,11,11
2023-01-04,OTHER,2,2
2023-01-04,PS,12,12
2023-01-04,UNSPECIFIED,15,15
2023-01-04,WIND,135,135
2023-01-11,BIOMASS,8,8
2023-01-11,CCGT,50,50
2023-01-11,COAL,6,6
2023-01-11,NPSHYD,10,10
2023-01-11,NUCLEAR,10,10
2023-01-11,OCGT,11,11
2023-01-11,OTHER,3,2
2023-01-11,PS,12,12
2023-01-11,UNSPECIFIED,15,15
2023-01-11,WIND,135,135
2023-01-18,BIOMASS,8,8
2023-01-18,CCGT,50,50
2023-01-18,COAL,6,6
2023-01-18,NPSHYD,10,10
2023-01-18,NUCLEAR,10,10
2023-01-18,OCGT,11,11
2023-01-18,OTHER,3,2
2023-01-18,PS,12,12
2023-01-18,UNSPECIFIED,15,15
2023-01-18,WIND,135,135
2023-01-25,BIOMASS,8,8
2023-01-25,CCGT,50,50
2023-01-25,COAL,6,6
2023-01-25,NPSHYD,10,10
2023-01-25,NUCLEAR,10,10
2023-01-25,OCGT,11,11
2023-01-25,OTHER,3,2
2023-01-25,PS,12,12
2023-01-25,UNSPECIFIED,15,15
2023-01-25,WIND,135,135
2023-07-05,BIOMASS,8,8
2023-07-05,CCGT,50,50
2023-07-05,COAL,6,6
2023-07-05,NPSHYD,10,10
2023-07-05,NUCLEAR,10,10
2023-07-05,OCGT,11,11
2023-07-05,OTHER,3,2
2023-07-05,PS,12,12
2023-07-05,UNSPECIFIED,17,15
2023-07-05,WIND,141,135
2023-07-12,BIOMASS,8,8
2023-07-12,CCGT,50,50
2023-07-12,COAL,6,6
2023-07-12,NPSHYD,10,10
2023-07-12,NUCLEAR,10,10
2023-07-12,OCGT,11,11
2023-07-12,OTHER,3,2
2023-07-12,PS,12,12
2023-07-12,UNSPECIFIED,17,15
2023-07-12,WIND,141,135
2023-07-19,BIOMASS,8,8
2023-07-19,CCGT,50,50
2023-07-19,COAL,6,6
2023-07-19,NPSHYD,10,10
2023-07-19,NUCLEAR,10,10
2023-07-19,OCGT,11,11
2023-07-19,OTHER,3,2
2023-07-19,PS,12,12
2023-07-19,UNSPECIFIED,17,15
2023-07-19,WIND,141,135
2023-07-26,BIOMASS,8,8
2023-07-26,CCGT,50,50
2023-07-26,COAL,6,6
2023-07-26,NPSHYD,10,10
2023-07-26,NUCLEAR,10,10
2023-07-26,OCGT,11,11
2023-07-26,OTHER,3,2
2023-07-26,PS,12,12
2023-07-26,UNSPECIFIED,17,15
2023-07-26,WIND,141,135
