uid,native_ramp_MW_per_min,hourly_ramp_MW,pmin_MW,pmax_MW,maximum_on_on_change_MW,redundancy_margin_MW,on_on_ramp_redundant
101_CT_1,3.0,180.0,8.0,20.0,12.0,168.0,True
101_CT_2,3.0,180.0,8.0,20.0,12.0,168.0,True
101_STEAM_3,2.0,120.0,30.0,76.0,46.0,74.0,True
101_STEAM_4,2.0,120.0,30.0,76.0,46.0,74.0,True
102_CT_1,3.0,180.0,8.0,20.0,12.0,168.0,True
102_CT_2,3.0,180.0,8.0,20.0,12.0,168.0,True
102_STEAM_3,2.0,120.0,30.0,76.0,46.0,74.0,True
102_STEAM_4,2.0,120.0,30.0,76.0,46.0,74.0,True
107_CC_1,4.14,248.39999999999998,170.0,355.0,185.0,63.39999999999998,True
113_CT_1,3.7,222.0,22.0,55.0,33.0,189.0,True
113_CT_2,3.7,222.0,22.0,55.0,33.0,189.0,True
113_CT_3,3.7,222.0,22.0,55.0,33.0,189.0,True
113_CT_4,3.7,222.0,22.0,55.0,33.0,189.0,True
115_STEAM_1,1.0,60.0,5.0,12.0,7.0,53.0,True
115_STEAM_2,1.0,60.0,5.0,12.0,7.0,53.0,True
115_STEAM_3,3.0,180.0,62.0,155.0,93.0,87.0,True
116_STEAM_1,3.0,180.0,62.0,155.0,93.0,87.0,True
118_CC_1,4.14,248.39999999999998,170.0,355.0,185.0,63.39999999999998,True
123_STEAM_2,3.0,180.0,62.0,155.0,93.0,87.0,True
123_STEAM_3,4.0,240.0,140.0,350.0,210.0,30.0,True
123_CT_1,3.7,222.0,22.0,55.0,33.0,189.0,True
123_CT_4,3.7,222.0,22.0,55.0,33.0,189.0,True
123_CT_5,3.7,222.0,22.0,55.0,33.0,189.0,True
121_NUCLEAR_1,20.0,1200.0,396.0,400.0,4.0,1196.0,True
