month,family,model_status,elapsed_s,verdict,solver_version,time_limit_s,rows,columns,max_primal_infeasibility
1,ramp,Optimal,7.530999999988126,ADMITTED_RELAXATION,1.12.0,60,16289,10920,1.2152501227546963e-12
1,minud,Infeasible,0.5,REJECTED_RELAXATION,1.12.0,60,24305,18984,
2,ramp,Optimal,3.39000000001397,ADMITTED_RELAXATION,1.12.0,60,16289,10920,2.7853275241795927e-12
2,minud,Infeasible,0.360000000015134,REJECTED_RELAXATION,1.12.0,60,24305,18984,
3,ramp,Optimal,1.2660000000032596,ADMITTED_RELAXATION,1.12.0,60,16289,10920,3.9176484278868884e-10
3,minud,Infeasible,0.35999999998603016,REJECTED_RELAXATION,1.12.0,60,24305,18984,
4,ramp,Optimal,9.53200000000652,ADMITTED_RELAXATION,1.12.0,60,16289,10920,7.143796665332047e-11
4,minud,Infeasible,0.6409999999741558,REJECTED_RELAXATION,1.12.0,60,24305,18984,
5,ramp,Time limit reached,60.01600000000326,UNRESOLVED,1.12.0,60,16289,10920,
5,minud,Infeasible,0.4370000000053551,REJECTED_RELAXATION,1.12.0,60,24305,18984,
6,ramp,Optimal,3.4530000000086147,ADMITTED_RELAXATION,1.12.0,60,16289,10920,1.6838440889960565e-11
6,minud,Infeasible,0.8900000000139698,REJECTED_RELAXATION,1.12.0,60,24305,18984,
7,ramp,Optimal,1.125,ADMITTED_RELAXATION,1.12.0,60,16289,10920,4.897628969047219e-10
7,minud,Infeasible,3.0940000000118744,REJECTED_RELAXATION,1.12.0,60,24305,18984,
10,ramp,Optimal,6.7189999999827705,ADMITTED_RELAXATION,1.12.0,60,16289,10920,3.6862957131234e-10
10,minud,Infeasible,0.735000000015134,REJECTED_RELAXATION,1.12.0,60,24305,18984,
